Tract number,Total households,    HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS),"        Less than $20,000:",            With a broadband Internet subscription,            Without an Internet subscription,"        $20,000 to $74,999:",            With a broadband Internet subscription,            Without an Internet subscription,"        $75,000 or more:",            With a broadband Internet subscription,            Without an Internet subscription,    EDUCATIONAL ATTAINMENT,        Household population 25 years and over,            Less than high school graduate or equivalency,"            High school graduate (includes equivalency), some college or associate's degree",            Bachelor's degree or higher,    EMPLOYMENT STATUS,        Civilian population 16 years and over,            In labor force,                Employed,                Unemployed,            Not in labor force,SCHOOL ENROLLMENT,Population 3 years and over enrolled in school,"    Nursery school, preschool",    Kindergarten to 12th grade,        Kindergarten,        Elementary: grade 1 to grade 4,        Elementary: grade 5 to grade 8,        High school: grade 9 to grade 12,"    College, undergraduate","    Graduate, professional school"
25.03,197,,80,69,11,35,17,18,82,82,0,,167,73,34,60,,477,326,326,0,151,,"2,858",0,0,0,0,0,0,"2,840",18
26,"2,083",,450,376,74,"1,266","1,217",49,367,367,0,,"3,157",689,"1,995",473,,"3,972","2,640","2,533",107,"1,332",,"1,113",42,589,58,93,223,215,438,44
29,"1,227",,96,74,22,625,595,30,506,498,8,,"2,173",138,"1,348",687,,"2,532","1,611","1,542",69,921,,702,34,401,28,138,111,124,223,44
30,966,,226,158,68,475,382,82,265,227,38,,"1,724",320,928,476,,"1,912","1,240","1,129",111,672,,644,47,499,6,238,144,111,82,16
31,"2,184",,403,334,55,"1,099","1,040",59,682,654,28,,"3,593",162,"1,701","1,730",,"3,874","2,558","2,521",37,"1,316",,"1,081",69,711,74,297,261,79,256,45
32,"1,574",,262,186,76,"1,023",851,145,289,285,4,,"2,055",123,"1,029",903,,"2,285","1,461","1,391",70,824,,454,0,134,8,54,64,8,219,101
35,"1,838",,"1,077",638,425,494,461,33,267,219,48,,"1,943",153,"1,154",636,,"2,181",920,877,43,"1,261",,267,4,79,0,36,35,8,170,14
36.01,"1,218",,378,315,63,601,539,62,239,239,0,,"1,464",82,841,541,,"1,799","1,118","1,065",53,681,,723,0,383,0,95,103,185,216,124
36.02,"1,699",,582,515,67,813,722,91,304,254,50,,"2,021",70,"1,288",663,,"2,190","1,634","1,555",79,556,,250,16,113,0,13,0,100,103,18
38,894,,169,121,48,418,401,17,307,284,23,,"1,269",51,734,484,,"1,459",954,888,66,505,,448,9,180,10,51,35,84,185,74
39,"1,023",,192,143,44,498,371,120,333,315,18,,"1,609",120,910,579,,"1,796",796,678,118,"1,000",,319,12,289,43,114,73,59,18,0
40.01,"1,326",,181,167,14,895,872,23,250,250,0,,"1,881",194,"1,152",535,,"2,359","1,677","1,606",71,682,,801,51,297,0,68,145,84,370,83
40.02,"1,276",,342,335,7,738,728,10,196,187,9,,"1,541",130,678,733,,"1,952","1,624","1,567",57,328,,612,0,232,0,65,83,84,185,195
41,"1,072",,142,108,34,435,372,63,495,485,10,,"1,712",53,668,991,,"1,905","1,122","1,101",21,783,,436,38,241,21,61,68,91,90,67
42,"1,936",,131,113,18,585,505,80,"1,220","1,202",18,,"3,280",42,957,"2,281",,"3,756","2,609","2,415",194,"1,147",,922,82,700,25,310,184,181,115,25
43,"1,516",,145,126,19,520,451,69,851,798,43,,"2,545",24,"1,073","1,448",,"2,753","1,684","1,663",21,"1,069",,706,50,447,24,162,142,119,141,68
44,"2,129",,266,89,177,908,817,91,955,940,15,,"3,237",11,"1,582","1,644",,"3,847","2,553","2,490",63,"1,294",,"1,094",51,824,76,148,382,218,117,102
45,"1,502",,144,118,26,473,433,40,885,872,13,,"2,587",36,786,"1,765",,"2,915","1,736","1,624",112,"1,179",,940,59,654,8,126,200,320,143,84
46.01,"2,124",,532,333,192,969,721,248,623,568,55,,"2,977",176,"1,698","1,103",,"3,270","1,577","1,536",41,"1,693",,745,33,536,0,83,233,220,141,35
46.02,"1,230",,109,109,0,374,266,97,747,705,42,,"2,276",135,"1,152",989,,"2,522","1,917","1,767",150,605,,644,36,454,28,164,157,105,107,47
47.01,"1,136",,100,100,0,452,352,100,584,584,0,,"2,006",82,"1,456",468,,"2,223","1,526","1,422",104,697,,922,78,705,183,389,101,32,109,30
47.02,"1,697",,305,291,14,693,604,89,699,655,44,,"2,691",63,"1,358","1,270",,"2,917","1,648","1,600",48,"1,269",,793,21,576,51,236,160,129,179,17
48,"2,057",,229,130,99,"1,080",814,254,748,739,9,,"3,008",51,"1,427","1,530",,"3,258","1,871","1,828",43,"1,387",,811,41,633,14,324,131,164,87,50
49,"2,315",,178,132,46,778,751,27,"1,359","1,346",0,,"3,826",100,"1,626","2,100",,"4,664","2,817","2,699",118,"1,847",,"1,475",70,996,124,203,357,312,372,37
50,"2,000",,280,176,104,910,674,236,810,779,31,,"2,992",111,"1,287","1,594",,"3,283","1,981","1,887",94,"1,302",,"1,183",130,816,128,237,229,222,205,32
101.01,"1,481",,95,31,64,843,795,48,543,480,63,,"2,650",114,"1,814",722,,"3,059","1,674","1,615",59,"1,385",,881,0,695,48,92,216,339,169,17
