tract,county,desktop_laptop,only_desktop_laptop,with_smartphone,only_smartphone,with_tablet,only_tablet,with_other,only_other,moe_desktop_laptop,moe_only_desktop_laptop,moe_with_smartphone,moe_only_smartphone,moe_with_tablet,moe_only_tablet,moe_with_other,moe_only_other
141,spokane,2060,71,2015,98,1752,12,0,0,271,41,274,78,275,19,18,18
26,spokane,1418,160,1838,311,954,26,0,0,296,94,276,167,242,31,13,13
142,spokane,1252,54,1251,79,863,13,48,40,276,32,283,47,262,14,57,54
29,spokane,1022,188,969,71,758,0,31,0,224,198,108,57,103,13,32,13
143,spokane,923,76,932,59,684,4,7,0,103,29,103,28,107,4,6,13
30,spokane,738,38,759,23,599,10,9,0,109,27,108,22,99,10,10,13
144,spokane,1304,47,1543,225,985,0,41,0,194,29,195,115,172,13,31,13
31,spokane,1781,84,1885,173,1234,24,29,0,266,67,308,157,187,38,32,18
145,spokane,558,52,685,154,389,0,12,0,111,35,141,55,116,13,15,13
32,spokane,1219,66,1231,149,928,30,52,0,209,48,214,139,202,30,66,13
9410,stevens,476,39,651,159,420,15,11,0,72,18,85,39,76,15,11,13
35,spokane,1099,155,1197,207,702,45,16,0,173,83,171,102,142,36,25,13
9501.01,stevens,1228,205,1292,215,901,14,25,0,149,73,154,98,151,16,21,13
36.01,spokane,930,19,1119,123,555,0,9,0,273,22,290,83,145,13,13,13
9501.02,stevens,974,139,984,39,779,14,66,0,198,57,198,37,199,24,42,13
36.02,spokane,1283,63,1416,174,736,54,78,0,257,59,289,140,212,61,90,13
9502,stevens,1159,130,1030,120,847,10,17,0,149,58,133,80,138,16,19,13
38,spokane,754,26,816,49,590,6,15,0,102,21,97,33,92,9,13,13
9503,stevens,871,145,784,69,616,29,17,0,98,57,109,46,113,28,19,13
39,spokane,857,128,741,55,652,24,49,0,149,53,133,50,147,38,50,13
9505,stevens,727,52,935,206,631,24,0,0,134,45,196,193,99,26,13,13
40.01,spokane,1071,0,1277,140,967,16,38,0,280,13,290,87,278,25,36,13
9506,stevens,768,78,728,66,588,46,24,0,107,42,108,43,94,33,26,13
40.02,spokane,1121,38,1196,90,764,13,5,0,212,48,196,94,155,22,9,13
