NAME,GEOID,has_computer,no_computer,with_internet,no_internet,total_population,work_from_home,65_and_older,median_income,number_providers,mean_lowest_cost,mean_d_mbps,mean_u_mbps,mean_lat_ms
"Census Tract 111.03, Spokane County, Washington",53063011103,1422.0,263.0,1385.0,264.0,2844.0,25.0,1144.0,25202.0,8.0,61.125,224.060611650485,22.8064563106796,0.0153851132686084
"Census Tract 111.04, Spokane County, Washington",53063011104,1164.0,130.0,1119.0,160.0,3255.0,37.0,423.0,33828.0,8.0,61.125,239.40338961039,34.3257272727273,0.0163376623376623
"Census Tract 112.02, Spokane County, Washington",53063011202,1527.0,75.0,1450.0,110.0,4039.0,151.0,701.0,60685.0,8.0,61.125,93.4159551020408,10.6797632653061,0.0400061224489796
"Census Tract 112.03, Spokane County, Washington",53063011203,2321.0,337.0,2125.0,439.0,5610.0,102.0,1021.0,38458.0,8.0,61.125,213.854445652174,37.447597826087,0.0160108695652174
"Census Tract 112.04, Spokane County, Washington",53063011204,880.0,101.0,865.0,116.0,2049.0,56.0,631.0,51417.0,7.0,62.7142857142857,249.67563963964,42.1568873873874,0.0175720720720721
"Census Tract 113.01, Spokane County, Washington",53063011301,1465.0,127.0,1465.0,127.0,3774.0,48.0,1084.0,92749.0,8.0,61.125,297.812130555556,20.2834222222222,0.015225
"Census Tract 113.02, Spokane County, Washington",53063011302,1996.0,19.0,1899.0,37.0,5209.0,80.0,640.0,81210.0,8.0,61.125,293.640988188976,28.5805374015748,0.0151023622047244
"Census Tract 114, Spokane County, Washington",53063011400,1987.0,128.0,2006.0,109.0,5288.0,260.0,853.0,57411.0,9.0,61.0,276.346718232044,20.6664696132597,0.0149944751381215
"Census Tract 115, Spokane County, Washington",53063011500,603.0,26.0,585.0,31.0,1641.0,166.0,202.0,77583.0,7.0,54.1428571428571,229.140131687243,28.7768600823045,0.0130946502057613
"Census Tract 116, Spokane County, Washington",53063011600,713.0,51.0,683.0,78.0,1742.0,53.0,248.0,53875.0,7.0,54.1428571428571,316.728035460993,24.7503687943262,0.014177304964539
"Census Tract 117.01, Spokane County, Washington",53063011701,1004.0,116.0,943.0,164.0,2249.0,44.0,458.0,55735.0,7.0,54.1428571428571,332.027016949153,25.8374124293785,0.0127344632768362
"Census Tract 117.02, Spokane County, Washington",53063011702,3083.0,146.0,2725.0,340.0,7531.0,118.0,827.0,37020.0,7.0,54.1428571428571,273.870095092025,26.0411012269939,0.015920245398773
"Census Tract 118, Spokane County, Washington",53063011800,2470.0,377.0,1983.0,504.0,5677.0,182.0,1224.0,39885.0,6.0,54.8333333333333,252.842942028986,19.287231884058,0.012731884057971
"Census Tract 119, Spokane County, Washington",53063011900,1873.0,189.0,1801.0,225.0,5189.0,454.0,817.0,53038.0,7.0,54.1428571428571,263.828249452954,23.8445623632385,0.0130437636761488
"Census Tract 120, Spokane County, Washington",53063012000,1762.0,80.0,1697.0,136.0,3974.0,40.0,751.0,50679.0,8.0,53.625,263.083823095823,16.7320417690418,0.0134643734643735
"Census Tract 121, Spokane County, Washington",53063012100,1008.0,111.0,956.0,146.0,2551.0,142.0,377.0,49646.0,7.0,54.1428571428571,258.654218487395,20.1078907563025,0.0113949579831933
"Census Tract 122, Spokane County, Washington",53063012200,846.0,116.0,772.0,167.0,2303.0,53.0,269.0,53889.0,8.0,61.125,189.040409340659,24.6042445054945,0.0182554945054945
"Census Tract 123, Spokane County, Washington",53063012300,2246.0,287.0,2147.0,324.0,6150.0,78.0,921.0,51847.0,8.0,54.625,238.473749430524,29.61730523918,0.0155170842824601
"Census Tract 124.01, Spokane County, Washington",53063012401,1825.0,343.0,1774.0,244.0,5856.0,207.0,1463.0,92024.0,7.0,54.1428571428571,233.596218274112,31.2918121827411,0.0192791878172589
"Census Tract 124.02, Spokane County, Washington",53063012402,2394.0,53.0,2302.0,133.0,6501.0,252.0,1037.0,107585.0,7.0,55.5714285714286,251.641652519894,19.9231034482759,0.0216419098143236
"Census Tract 125, Spokane County, Washington",53063012500,1221.0,124.0,1229.0,97.0,3729.0,31.0,560.0,55873.0,7.0,54.1428571428571,254.138337962963,16.7505324074074,0.0131527777777778
"Census Tract 126, Spokane County, Washington",53063012600,1644.0,72.0,1471.0,175.0,4153.0,199.0,552.0,59395.0,7.0,54.1428571428571,302.267728301887,27.1485509433962,0.013422641509434
"Census Tract 127.01, Spokane County, Washington",53063012701,1561.0,285.0,1491.0,254.0,3735.0,44.0,824.0,48841.0,6.0,54.8333333333333,261.545273148148,25.171712962963,0.0142037037037037
"Census Tract 127.02, Spokane County, Washington",53063012702,857.0,42.0,826.0,60.0,2912.0,150.0,440.0,72740.0,6.0,54.8333333333333,254.85187283237,26.8958265895954,0.0135375722543353
"Census Tract 128.01, Spokane County, Washington",53063012801,1591.0,48.0,1525.0,114.0,4322.0,54.0,608.0,55551.0,6.0,54.8333333333333,275.763164874552,28.3459139784946,0.0145555555555556
"Census Tract 128.02, Spokane County, Washington",53063012802,1315.0,146.0,1293.0,168.0,3675.0,142.0,781.0,66430.0,6.0,54.8333333333333,317.442212669683,26.3362760180995,0.0128235294117647
"Census Tract 129.01, Spokane County, Washington",53063012901,1061.0,136.0,955.0,214.0,3095.0,169.0,756.0,57846.0,6.0,54.8333333333333,272.58757615894,19.3254072847682,0.0142019867549669
"Census Tract 129.02, Spokane County, Washington",53063012902,2500.0,139.0,2257.0,255.0,7631.0,176.0,1267.0,69663.0,6.0,54.8333333333333,265.873103225806,16.7085784946237,0.0150279569892473
"Census Tract 130.01, Spokane County, Washington",53063013001,400.0,0.0,400.0,0.0,1106.0,122.0,187.0,116818.0,6.0,54.8333333333333,197.123827586207,14.7431724137931,0.0144137931034483
"Census Tract 130.02, Spokane County, Washington",53063013002,1230.0,79.0,1137.0,172.0,2809.0,18.0,410.0,50394.0,6.0,54.8333333333333,280.073662162162,32.1770135135135,0.0148873873873874
"Census Tract 130.03, Spokane County, Washington",53063013003,2178.0,150.0,2125.0,122.0,6322.0,311.0,1050.0,86474.0,7.0,55.5714285714286,236.760987586207,43.0145724137931,0.01564
"Census Tract 131.01, Spokane County, Washington",53063013101,3365.0,58.0,2927.0,432.0,6852.0,348.0,1049.0,56166.0,6.0,64.8333333333333,270.776810249307,21.8779501385042,0.0122548476454294
"Census Tract 131.02, Spokane County, Washington",53063013102,1981.0,84.0,1961.0,84.0,5135.0,235.0,936.0,83320.0,4.0,57.0,244.876539145907,31.3096174377224,0.0151903914590747
"Census Tract 132.01, Spokane County, Washington",53063013201,2637.0,59.0,2500.0,162.0,7391.0,172.0,1442.0,64830.0,7.0,62.7142857142857,285.096071428571,33.778875,0.0241547619047619
"Census Tract 132.03, Spokane County, Washington",53063013203,1049.0,12.0,1026.0,12.0,2673.0,134.0,563.0,84509.0,7.0,62.7142857142857,258.515573696145,46.1320340136054,0.0144353741496599
"Census Tract 132.04, Spokane County, Washington",53063013204,1550.0,52.0,1499.0,52.0,4813.0,518.0,633.0,101742.0,8.591160220994475,58.634908862221856,216.244224576271,22.8374300847458,0.0210847457627119
"Census Tract 132.05, Spokane County, Washington",53063013205,1211.0,0.0,1141.0,70.0,3611.0,239.0,318.0,131750.0,4.0,57.0,242.700719827586,28.3514590517241,0.018176724137931
"Census Tract 133, Spokane County, Washington",53063013300,1182.0,26.0,1102.0,53.0,3354.0,225.0,486.0,111389.0,12.0,54.9166666666667,91.7363712686567,9.42366231343284,0.062615671641791
"Census Tract 134.01, Spokane County, Washington",53063013401,2003.0,16.0,1977.0,28.0,5500.0,396.0,1009.0,130114.0,7.0,54.1428571428571,249.50669346049,19.8425027247956,0.0171675749318801
"Census Tract 135.01, Spokane County, Washington",53063013501,633.0,18.0,571.0,80.0,1761.0,83.0,364.0,90020.0,9.0,61.0,71.8207885196375,8.34738972809668,0.0549909365558912
"Census Tract 135.02, Spokane County, Washington",53063013502,875.0,18.0,857.0,36.0,2293.0,204.0,454.0,106736.0,9.0,61.0,60.682339055794,11.4167296137339,0.0384077253218884
"Census Tract 135.03, Spokane County, Washington",53063013503,2199.0,12.0,2181.0,12.0,6078.0,189.0,904.0,125453.0,9.0,61.0,190.487001782531,27.5013654188948,0.026825311942959
"Census Tract 136, Spokane County, Washington",53063013600,1897.0,65.0,1826.0,119.0,5158.0,177.0,639.0,78534.0,10.0,61.9,180.596692857143,20.3919,0.0229857142857143
"Census Tract 137, Spokane County, Washington",53063013700,1320.0,57.0,1219.0,134.0,3128.0,105.0,418.0,59778.0,11.0,59.0,161.591202839757,22.5866470588235,0.0284381338742394
"Census Tract 138, Spokane County, Washington",53063013800,813.0,13.0,740.0,4.0,3464.0,89.0,0.0,60133.0,10.0,60.9,270.598943396226,20.0872735849057,0.0153962264150943
"Census Tract 139, Spokane County, Washington",53063013900,2086.0,71.0,2075.0,82.0,5618.0,69.0,748.0,63594.0,10.0,58.9,159.135356495468,10.3148851963746,0.0640392749244713
"Census Tract 140.01, Spokane County, Washington",53063014001,1658.0,75.0,1491.0,175.0,5326.0,108.0,432.0,30268.0,8.0,63.5,203.448736842105,82.306271468144,0.0286925207756233
"Census Tract 140.02, Spokane County, Washington",53063014002,2469.0,125.0,2372.0,160.0,6296.0,322.0,569.0,53773.0,9.0,59.7777777777778,179.035244027304,68.5311365187713,0.0193105802047782
"Census Tract 141, Spokane County, Washington",53063014100,2182.0,195.0,2105.0,215.0,6201.0,415.0,1030.0,78068.0,11.0,57.7272727272727,140.607463796478,22.5251213307241,0.0595812133072407
"Census Tract 142, Spokane County, Washington",53063014200,1426.0,78.0,1251.0,195.0,3547.0,298.0,597.0,71012.0,12.0,54.8333333333333,63.9087443181818,11.25496875,0.0651164772727273
"Census Tract 143, Spokane County, Washington",53063014300,1037.0,97.0,972.0,146.0,2939.0,92.0,427.0,58813.0,13.0,53.7692307692308,44.8196851851852,9.48297777777778,0.047362962962963
