NAME,GEOID,tract,has_computer,no_computer,with_internet,no_internet,total_population,work_from_home,65_and_older,median_income
"Census Tract 14, Spokane County, Washington",53063001400,001400,2321.0,94.0,2226.0,177.0,6202.0,87.0,529.0,40786.0
"Census Tract 15, Spokane County, Washington",53063001500,001500,2096.0,299.0,1928.0,467.0,5777.0,128.0,777.0,49783.0
"Census Tract 16, Spokane County, Washington",53063001600,001600,1175.0,179.0,1105.0,231.0,3344.0,49.0,358.0,36096.0
"Census Tract 18, Spokane County, Washington",53063001800,001800,1087.0,288.0,1018.0,251.0,2903.0,123.0,618.0,41358.0
"Census Tract 19, Spokane County, Washington",53063001900,001900,1379.0,98.0,1321.0,132.0,3652.0,152.0,398.0,49425.0
"Census Tract 20, Spokane County, Washington",53063002000,002000,1600.0,107.0,1515.0,100.0,4072.0,73.0,423.0,33374.0
"Census Tract 21, Spokane County, Washington",53063002100,002100,1081.0,44.0,1061.0,44.0,2606.0,105.0,281.0,63531.0
"Census Tract 23, Spokane County, Washington",53063002300,002300,1913.0,269.0,1852.0,270.0,4824.0,161.0,869.0,48367.0
"Census Tract 24, Spokane County, Washington",53063002400,002400,984.0,168.0,915.0,207.0,2977.0,163.0,409.0,26975.0
"Census Tract 25.01, Spokane County, Washington",53063002501,002501,1096.0,15.0,1049.0,62.0,3268.0,105.0,294.0,44527.0
"Census Tract 25.02, Spokane County, Washington",53063002502,002502,828.0,186.0,727.0,132.0,2592.0,16.0,288.0,49167.0
"Census Tract 25.03, Spokane County, Washington",53063002503,002503,186.0,11.0,168.0,29.0,3205.0,84.0,0.0,-666666666.0
"Census Tract 26, Spokane County, Washington",53063002600,002600,2024.0,59.0,1960.0,123.0,4857.0,43.0,336.0,37711.0
"Census Tract 29, Spokane County, Washington",53063002900,002900,1177.0,50.0,1167.0,44.0,3246.0,100.0,403.0,63977.0
"Census Tract 30, Spokane County, Washington",53063003000,003000,853.0,113.0,778.0,137.0,2557.0,72.0,329.0,43219.0
"Census Tract 31, Spokane County, Washington",53063003100,003100,2066.0,118.0,2042.0,95.0,5004.0,100.0,535.0,52803.0
"Census Tract 32, Spokane County, Washington",53063003200,003200,1416.0,158.0,1349.0,80.0,2865.0,142.0,732.0,43668.0
"Census Tract 35, Spokane County, Washington",53063003500,003500,1462.0,376.0,1332.0,406.0,2671.0,19.0,488.0,14280.0
"Census Tract 36.01, Spokane County, Washington",53063003601,003601,1138.0,80.0,1093.0,85.0,2267.0,9.0,185.0,28578.0
"Census Tract 36.02, Spokane County, Washington",53063003602,003602,1533.0,166.0,1491.0,155.0,2337.0,128.0,315.0,27073.0
"Census Tract 38, Spokane County, Washington",53063003800,003800,854.0,40.0,806.0,64.0,1745.0,38.0,324.0,51159.0
"Census Tract 39, Spokane County, Washington",53063003900,003900,951.0,72.0,841.0,129.0,2153.0,81.0,693.0,48250.0
"Census Tract 40.01, Spokane County, Washington",53063004001,004001,1312.0,14.0,1289.0,37.0,2794.0,200.0,304.0,52575.0
"Census Tract 40.02, Spokane County, Washington",53063004002,004002,1257.0,19.0,1250.0,19.0,2301.0,64.0,185.0,38045.0
"Census Tract 41, Spokane County, Washington",53063004100,004100,1030.0,42.0,965.0,107.0,2221.0,158.0,598.0,65217.0
"Census Tract 42, Spokane County, Washington",53063004200,004200,1865.0,71.0,1820.0,116.0,4726.0,323.0,888.0,96071.0
"Census Tract 43, Spokane County, Washington",53063004300,004300,1423.0,93.0,1385.0,92.0,3441.0,147.0,968.0,89917.0
"Census Tract 44, Spokane County, Washington",53063004400,004400,2038.0,91.0,1846.0,227.0,4790.0,137.0,1015.0,57904.0
"Census Tract 45, Spokane County, Washington",53063004500,004500,1486.0,16.0,1423.0,44.0,3605.0,202.0,745.0,91250.0
