"","tract","county","dataset","estimate_estimate_total","estimate_estimate_total_has_one_or_more_types_of_computing_devices","estimate_estimate_total_has_one_or_more_types_of_computing_devices_desktop_or_laptop","estimate_estimate_total_has_one_or_more_types_of_computing_devices_desktop_or_laptop_desktop_or_laptop_with_no_other_type_of_computing_device","estimate_estimate_total_has_one_or_more_types_of_computing_devices_smartphone","estimate_estimate_total_has_one_or_more_types_of_computing_devices_smartphone_smartphone_with_no_other_type_of_computing_device","estimate_estimate_total_has_one_or_more_types_of_computing_devices_tablet_or_other_portable_wireless_computer","estimate_estimate_total_has_one_or_more_types_of_computing_devices_tablet_or_other_portable_wireless_computer_tablet_or_other_portable_wireless_computer_with_no_other_type_of_computing_device","estimate_estimate_total_has_one_or_more_types_of_computing_devices_other_computer","estimate_estimate_total_has_one_or_more_types_of_computing_devices_other_computer_other_computer_with_no_other_type_of_computing_device","estimate_estimate_total_no_computer","moe_estimate_total","moe_estimate_total_has_one_or_more_types_of_computing_devices","moe_estimate_total_has_one_or_more_types_of_computing_devices_desktop_or_laptop","moe_estimate_total_has_one_or_more_types_of_computing_devices_desktop_or_laptop_desktop_or_laptop_with_no_other_type_of_computing_device","moe_estimate_total_has_one_or_more_types_of_computing_devices_smartphone","moe_estimate_total_has_one_or_more_types_of_computing_devices_smartphone_smartphone_with_no_other_type_of_computing_device","moe_estimate_total_has_one_or_more_types_of_computing_devices_tablet_or_other_portable_wireless_computer","moe_estimate_total_has_one_or_more_types_of_computing_devices_tablet_or_other_portable_wireless_computer_tablet_or_other_portable_wireless_computer_with_no_other_type_of_computing_device","moe_estimate_total_has_one_or_more_types_of_computing_devices_other_computer","moe_estimate_total_has_one_or_more_types_of_computing_devices_other_computer_other_computer_with_no_other_type_of_computing_device","moe_estimate_total_no_computer"
"40",1,"whitman","types_of_computers_in_household",1177,1160,1092,17,1109,58,630,0,0,0,17,169,171,173,16,169,38,110,18,18,18,27
"41",111.04,"spokane","types_of_computers_in_household",1294,1164,776,0,1063,301,584,13,44,0,130,230,231,216,13,235,161,215,21,55,13,88
"42",2.01,"whitman","types_of_computers_in_household",1905,1878,1785,54,1715,52,1231,34,11,0,27,329,322,321,42,336,79,240,34,15,13,33
"43",112.02,"spokane","types_of_computers_in_household",1602,1527,1383,117,1390,77,918,5,41,0,75,214,215,221,77,207,61,175,6,29,13,39
"44",2.02,"whitman","types_of_computers_in_household",945,945,897,0,885,13,744,21,125,0,0,159,159,160,13,157,23,141,32,75,13,13
"45",112.03,"spokane","types_of_computers_in_household",2658,2321,1850,176,2092,315,1235,18,15,0,337,357,299,283,80,316,172,246,28,26,18,230
"46",3,"whitman","types_of_computers_in_household",2392,2351,2272,130,2204,27,1779,0,36,0,41,239,242,249,89,258,31,224,18,38,18,37
"47",112.04,"spokane","types_of_computers_in_household",981,880,796,22,840,54,652,18,0,0,101,145,157,167,26,157,60,164,34,13,13,75
"48",4,"whitman","types_of_computers_in_household",1998,1774,1636,177,1513,90,1024,23,20,0,224,203,197,204,76,205,64,141,36,22,13,106
"49",113.01,"spokane","types_of_computers_in_household",1592,1465,1446,17,1415,0,1119,0,28,0,127,277,265,267,27,263,13,271,13,45,13,78
"50",5,"whitman","types_of_computers_in_household",447,430,424,0,430,6,231,0,0,0,17,109,111,113,13,111,10,106,13,13,13,20
"51",113.02,"spokane","types_of_computers_in_household",2015,1996,1688,52,1846,135,1435,65,43,0,19,332,332,278,46,336,130,287,53,45,18,28
"52",6.01,"whitman","types_of_computers_in_household",2250,2250,2156,0,2239,38,1509,0,44,0,0,322,322,307,13,322,41,329,13,51,13,13
"53",114,"spokane","types_of_computers_in_household",2115,1987,1923,191,1719,55,1339,0,49,0,128,305,310,316,90,325,85,316,18,45,18,78
"54",6.02,"whitman","types_of_computers_in_household",1997,1947,1843,42,1905,104,1322,0,0,0,50,276,263,258,35,263,92,237,13,13,13,80
"55",115,"spokane","types_of_computers_in_household",629,603,533,24,568,41,437,0,6,0,26,133,134,134,18,134,25,139,13,9,13,17
"56",7,"whitman","types_of_computers_in_household",1480,1359,1213,122,1111,42,976,45,23,0,121,135,131,120,38,106,19,112,29,10,13,37
"57",116,"spokane","types_of_computers_in_household",764,713,618,27,659,60,413,11,30,0,51,78,75,63,12,77,44,54,8,20,13,20
"58",8,"whitman","types_of_computers_in_household",1424,1283,1091,148,1042,79,751,19,36,11,141,200,206,189,83,168,60,154,25,32,18,75
"59",117.01,"spokane","types_of_computers_in_household",1120,1004,805,129,801,85,568,66,7,0,116,137,141,132,77,152,59,148,50,12,13,61
"60",9,"whitman","types_of_computers_in_household",1587,1443,1265,183,1176,91,876,13,54,0,144,141,132,117,60,118,44,85,11,24,13,32
"61",117.02,"spokane","types_of_computers_in_household",3229,3083,2471,194,2816,453,1898,0,81,0,146,331,348,340,98,381,227,336,18,84,18,94
"62",10,"whitman","types_of_computers_in_household",883,846,791,103,713,14,526,2,12,0,37,122,120,123,36,117,14,87,3,9,13,18
"63",118,"spokane","types_of_computers_in_household",2847,2470,1765,187,2230,235,1416,32,15,0,377,387,411,288,106,405,140,441,50,25,18,134
"64",119,"spokane","types_of_computers_in_household",2062,1873,1744,51,1787,52,1076,6,0,0,189,243,265,264,29,270,49,185,10,18,18,90
"65",120,"spokane","types_of_computers_in_household",1842,1762,1405,180,1528,276,912,21,34,0,80,311,319,177,101,273,220,134,34,33,13,59
"66",121,"spokane","types_of_computers_in_household",1119,1008,792,40,958,116,655,10,20,0,111,143,139,136,33,140,73,140,17,22,13,58
"67",122,"spokane","types_of_computers_in_household",962,846,690,61,774,116,476,5,16,0,116,106,105,92,34,110,57,92,9,17,13,56
"68",123,"spokane","types_of_computers_in_household",2533,2246,1773,138,1955,275,1432,51,46,18,287,332,336,264,56,328,213,238,83,48,29,143
"69",124.01,"spokane","types_of_computers_in_household",2168,1825,1765,106,1667,33,1428,0,158,0,343,325,264,270,58,260,42,279,18,213,18,195
"70",124.02,"spokane","types_of_computers_in_household",2447,2394,2144,71,2242,77,1955,0,17,0,53,173,180,163,53,187,79,202,18,27,18,48
"71",125,"spokane","types_of_computers_in_household",1345,1221,958,66,1132,154,867,0,9,0,124,151,166,155,43,161,78,151,13,15,13,76
"72",126,"spokane","types_of_computers_in_household",1716,1644,1497,112,1480,100,1115,28,32,0,72,222,231,227,60,230,84,230,32,30,13,63
"73",127.01,"spokane","types_of_computers_in_household",1846,1561,1390,207,1314,128,956,5,42,0,285,209,212,215,84,208,80,201,9,33,13,110
"74",2.01,"spokane","types_of_computers_in_household",1295,1179,860,42,1056,183,724,20,23,0,116,180,153,144,25,145,105,124,18,21,13,104
"75",127.02,"spokane","types_of_computers_in_household",899,857,820,21,821,18,677,0,29,0,42,138,139,143,15,137,15,133,13,19,13,33
"76",2.02,"spokane","types_of_computers_in_household",616,570,450,0,547,100,324,0,0,0,46,120,125,119,13,123,68,81,13,13,13,35
"77",128.01,"spokane","types_of_computers_in_household",1639,1591,1295,73,1442,162,1072,29,15,0,48,133,134,162,46,144,88,156,41,19,13,27
"78",3.01,"spokane","types_of_computers_in_household",1095,1026,779,50,948,140,535,0,0,0,69,151,130,160,55,146,77,109,13,13,13,82
"79",128.02,"spokane","types_of_computers_in_household",1461,1315,1186,33,1238,39,1005,10,30,10,146,217,179,183,29,183,29,173,16,25,15,163
"80",3.02,"spokane","types_of_computers_in_household",1035,946,716,168,756,63,517,0,11,0,89,158,163,184,138,128,59,124,13,18,13,59
"81",129.01,"spokane","types_of_computers_in_household",1197,1061,944,170,854,47,670,8,27,0,136,144,139,140,70,146,60,98,13,25,13,64
"82",4,"spokane","types_of_computers_in_household",1638,1488,1150,97,1327,165,897,45,14,0,150,214,225,228,53,218,79,223,49,16,13,70
"83",129.02,"spokane","types_of_computers_in_household",2639,2500,2352,242,2143,123,1628,0,27,0,139,275,295,294,110,305,70,322,18,32,18,89
"84",5,"spokane","types_of_computers_in_household",1447,1368,1156,105,1174,168,821,20,21,0,79,122,122,105,55,139,74,122,22,23,13,43
"85",130.01,"spokane","types_of_computers_in_household",400,400,380,20,360,0,271,20,0,0,0,77,77,90,29,85,13,102,29,13,13,13
"86",6,"spokane","types_of_computers_in_household",1286,1267,1155,56,1186,89,699,0,49,0,19,118,120,111,48,129,64,127,13,44,13,17
"87",130.02,"spokane","types_of_computers_in_household",1309,1230,1007,100,1110,174,677,0,48,0,79,191,177,180,69,193,134,182,13,50,13,67
"88",7,"spokane","types_of_computers_in_household",2231,2134,1836,92,1926,188,1454,35,65,14,97,307,298,284,57,313,119,307,31,77,22,52
"89",130.03,"spokane","types_of_computers_in_household",2328,2178,2066,86,2040,0,1596,26,25,0,150,314,306,293,67,311,18,239,41,40,18,80
"90",8,"spokane","types_of_computers_in_household",1955,1837,1752,196,1551,24,1299,17,15,0,118,140,149,160,87,155,23,145,18,17,18,61
"91",131.01,"spokane","types_of_computers_in_household",3423,3365,2843,89,3212,393,2090,30,46,0,58,701,691,488,85,700,483,498,48,52,18,68
"92",9,"spokane","types_of_computers_in_household",2368,2177,2006,182,1910,91,1649,16,50,0,191,209,227,234,78,261,72,252,25,38,18,105
"93",131.02,"spokane","types_of_computers_in_household",2065,1981,1850,120,1836,49,1503,0,97,0,84,254,249,251,85,270,61,230,18,119,18,90
"94",10,"spokane","types_of_computers_in_household",2309,2127,1823,90,1899,195,1386,44,78,0,182,265,282,322,67,298,99,182,50,57,18,93
"95",132.01,"spokane","types_of_computers_in_household",2696,2637,2395,156,2375,126,1883,40,42,0,59,194,200,211,87,221,84,242,45,51,18,43
"96",11,"spokane","types_of_computers_in_household",1411,1311,1236,80,1182,48,955,0,52,0,100,192,200,205,40,210,41,200,13,37,13,62
"97",132.03,"spokane","types_of_computers_in_household",1061,1049,982,93,924,57,588,0,55,0,12,227,226,222,76,221,55,163,13,62,13,19
"98",12,"spokane","types_of_computers_in_household",989,933,821,63,820,66,609,0,33,0,56,100,97,109,37,102,40,105,13,23,13,29
"99",132.04,"spokane","types_of_computers_in_household",1602,1550,1370,31,1428,32,1386,91,10,0,52,246,247,239,38,259,40,241,122,18,13,49
"100",13,"spokane","types_of_computers_in_household",1521,1420,1209,77,1319,106,935,5,43,0,101,193,188,147,58,198,112,171,10,42,13,62
"101",132.05,"spokane","types_of_computers_in_household",1211,1211,1060,65,1059,79,990,44,31,0,0,222,222,228,57,234,79,238,73,37,13,13
