tract,county,GEOID,has_computer,with_internet,work_from_home,broadband,median_income,median_age,total_population,number_providers,mean_lowest_cost,mean_d_mbps,mean_u_mbps,mean_lat_ms
5.0," Whitman County",53075000500,430.0,178.0,207.0,178.0,21696.0,19.8,4033.0,7.0,57.8571428571429,227.084375,13.688375,0.040625
6.01," Whitman County",53075000601,2250.0,1885.0,91.0,1885.0,17294.0,22.4,4670.0,8.0,57.0,267.54025984252,123.38388976378,0.0193700787401575
6.02," Whitman County",53075000602,1947.0,1618.0,30.0,1618.0,21024.0,22.4,4379.0,7.0,57.8571428571429,210.437129032258,111.333038709677,0.020458064516129
7.0," Whitman County",53075000700,1359.0,1218.0,142.0,1212.0,65900.0,48.6,3416.0,12.0,54.25,128.314359477124,60.0831111111111,0.0455424836601307
8.0," Whitman County",53075000800,1283.0,1096.0,51.0,1096.0,54904.0,44.6,3686.0,11.0,52.3636363636364,47.2315388349515,40.2632621359223,0.0641019417475728
9.0," Whitman County",53075000900,1443.0,1314.0,155.0,1310.0,53597.0,48.0,3903.0,17.0,49.4705882352941,172.811641791045,155.086537313433,0.0137462686567164
10.0," Whitman County",53075001000,846.0,735.0,101.0,708.0,57083.0,47.4,2014.0,19.0,51.1578947368421,50.9474124293785,31.4935197740113,0.0347570621468927
9501.0," Adams County",53001950100,1023.0,910.0,82.0,905.0,52589.0,42.6,2606.0,12.0,54.25,62.6586413043478,9.5285652173913,0.0426413043478261
9502.0," Adams County",53001950200,548.0,487.0,47.0,485.0,59886.0,40.5,1763.0,12.0,56.0833333333333,61.9772073170732,9.0375243902439,0.0609024390243902
9503.01," Adams County",53001950301,318.0,327.0,3.0,327.0,39928.0,34.1,1581.0,8.0,53.0,88.0868093023256,13.2451162790698,0.0601674418604651
9503.02," Adams County",53001950302,566.0,515.0,26.0,515.0,58884.0,29.8,2434.0,8.0,53.0,87.0107878787879,17.036595959596,0.0444242424242424
9503.03," Adams County",53001950303,608.0,557.0,110.0,557.0,50915.0,29.8,2514.0,8.0,53.0,74.1417594936709,14.2204050632911,0.0378924050632911
9504.0," Adams County",53001950400,713.0,685.0,23.0,685.0,63750.0,25.7,3144.0,9.0,52.2222222222222,267.839712550607,32.9302469635628,0.0238380566801619
9505.0," Adams County",53001950500,1519.0,1368.0,149.0,1368.0,48542.0,24.2,5660.0,9.0,52.2222222222222,191.539782945736,34.8328630490956,0.0257777777777778
