tract,county,GEOID,has_computer,with_internet,work_from_home,broadband,median_income,median_age,total_population,number_providers,mean_lowest_cost,mean_d_mbps,mean_u_mbps,mean_lat_ms
105.05," Spokane County",53063010505,1241.0,1212.0,94.0,1212.0,88681.0,33.6,3680.0,8.0,61.125,238.498242524917,21.5205681063123,0.0175182724252492
105.06," Spokane County",53063010506,2264.0,2187.0,412.0,2173.0,70208.0,50.1,5294.0,8.591160220994475,58.634908862221856,256.119757746479,19.8465887323944,0.0173887323943662
105.07," Spokane County",53063010507,1590.0,1525.0,154.0,1525.0,82422.0,53.0,4060.0,8.0,61.125,282.853989304813,25.8690481283422,0.014879679144385
105.08," Spokane County",53063010508,1313.0,1253.0,430.0,1253.0,128227.0,40.1,4248.0,8.0,61.125,169.773487179487,25.8605846153846,0.042574358974359
106.01," Spokane County",53063010601,1291.0,1285.0,102.0,1285.0,74837.0,41.7,3959.0,8.0,61.125,212.634708222812,29.8372838196286,0.0182758620689655
106.03," Spokane County",53063010603,1884.0,1850.0,138.0,1850.0,84962.0,51.1,4275.0,8.0,61.125,232.294329545455,58.8188227272727,0.0171022727272727
106.04," Spokane County",53063010604,1273.0,1259.0,86.0,1259.0,102115.0,54.8,3465.0,8.0,61.125,265.259904220779,91.8594577922078,0.0163733766233766
107.01," Spokane County",53063010701,1447.0,1390.0,187.0,1390.0,89963.0,39.7,4036.0,8.0,61.125,265.0661,31.875219047619,0.0143404761904762
107.02," Spokane County",53063010702,1135.0,1124.0,146.0,1124.0,111625.0,34.2,3686.0,7.0,62.7142857142857,314.392377622378,81.241682983683,0.0153216783216783
108.0," Spokane County",53063010800,823.0,750.0,31.0,750.0,47083.0,35.3,2313.0,8.0,61.125,239.413307692308,41.1929053254438,0.012491124260355
109.01," Spokane County",53063010901,803.0,759.0,182.0,759.0,62660.0,41.8,2232.0,8.0,61.125,207.667455882353,21.8293823529412,0.0202647058823529
109.02," Spokane County",53063010902,685.0,685.0,140.0,685.0,78693.0,20.7,3385.0,8.0,61.125,281.142738461538,27.9972256410256,0.0146051282051282
110.0," Spokane County",53063011000,1388.0,1319.0,46.0,1311.0,61121.0,39.3,3461.0,8.0,61.125,281.218058823529,29.4893088235294,0.0204558823529412
111.02," Spokane County",53063011102,1627.0,1604.0,70.0,1604.0,50243.0,30.7,4403.0,8.0,61.125,212.395767346939,46.2240612244898,0.0163755102040816
111.03," Spokane County",53063011103,1422.0,1385.0,25.0,1347.0,25202.0,58.3,2844.0,8.0,61.125,224.060611650485,22.8064563106796,0.0153851132686084
