"GEOID","tract","not_citizen","naturalized_citizen","native_citizen","foreign_born","work_from_home","desktop_or_laptop","desktop_or_laptop_only","smartphone","smartphone_only","tablet_or_portable","has_computer","no_computer","internet_subscription","dial_up","broadband","satellite","other_internet_service","access_with_no_subscription","no_internet_access","sixty_five_and_older","median_income","mean_income","mean_d_mbps","mean_u_mbps","mean_lat_ms","number_providers","lowest_cost"
53063010701,107.01,120,257,3659,377,187,1371,43,1392,56,1109,1447,15,1390,0,1336,63,0,57,15,453,89963,116521,265.0661,31.875219047619,14.3404761904762,8,43
53063010702,107.02,78,288,3320,366,146,1076,48,1018,11,1013,1135,27,1124,0,1001,123,0,11,27,320,111625,119507,314.392377622378,81.241682983683,15.3216783216783,7,43
53063010800,108,12,37,2264,49,31,709,67,711,77,492,823,148,750,0,674,11,0,28,193,347,47083,78537,239.413307692308,41.1929053254438,12.491124260355,8,43
53063010901,109.01,48,31,2153,79,182,649,47,719,88,513,803,10,759,0,648,10,8,13,41,467,62660,62583,207.667455882353,21.8293823529412,20.2647058823529,8,43
53063010902,109.02,104,223,3058,327,140,642,22,636,22,515,685,0,685,0,612,34,0,0,0,338,78693,91047,281.142738461538,27.9972256410256,14.6051282051282,8,43
53063011000,110,26,67,3368,93,46,1187,64,1291,148,908,1388,88,1319,8,1111,50,10,7,150,538,61121,68341,281.218058823529,29.4893088235294,20.4558823529412,8,43
53063011102,111.02,62,123,4218,185,70,1375,18,1530,135,965,1627,102,1604,0,1433,14,17,33,92,555,50243,61338,212.395767346939,46.2240612244898,16.3755102040816,8,43
53063011103,111.03,276,116,2452,392,25,1180,133,1105,90,981,1422,263,1385,38,1147,56,0,36,264,1144,25202,40444,224.060611650485,22.8064563106796,15.3851132686084,8,43
53063011104,111.04,0,48,3207,48,37,776,0,1063,301,584,1164,130,1119,40,940,35,16,15,160,423,33828,43195,239.40338961039,34.3257272727273,16.3376623376623,8,43
53063011202,112.02,39,119,3881,158,151,1383,117,1390,77,918,1527,75,1450,0,1218,181,10,42,110,701,60685,90380,93.4159551020408,10.6797632653061,40.0061224489796,8,43
53063011203,112.03,488,102,5020,590,102,1850,176,2092,315,1235,2321,337,2125,14,1974,66,0,94,439,1021,38458,54965,213.854445652174,37.447597826087,16.0108695652174,8,43
53063011204,112.04,45,511,1493,556,56,796,22,840,54,652,880,101,865,12,804,91,9,0,116,631,51417,58566,249.67563963964,42.1568873873874,17.5720720720721,7,43
53063011301,113.01,55,133,3586,188,48,1446,17,1415,0,1119,1465,127,1465,0,1132,167,0,0,127,1084,92749,100700,297.812130555556,20.2834222222222,15.225,8,43
53063011302,113.02,86,361,4762,447,80,1688,52,1846,135,1435,1996,19,1899,1,1561,40,2,79,37,640,81210,85567,293.640988188976,28.5805374015748,15.1023622047244,8,43
53063011400,114,117,103,5068,220,260,1923,191,1719,55,1339,1987,128,2006,0,1677,55,24,0,109,853,57411,89068,276.346718232044,20.6664696132597,14.9944751381215,9,43
53063011500,115,24,76,1541,100,166,533,24,568,41,437,603,26,585,0,505,27,20,13,31,202,77583,95771,229.140131687243,28.7768600823045,13.0946502057613,7,43
53063011600,116,23,35,1684,58,53,618,27,659,60,413,713,51,683,0,567,28,8,3,78,248,53875,71846,316.728035460993,24.7503687943262,14.177304964539,7,43
53063011701,117.01,10,82,2157,92,44,805,129,801,85,568,1004,116,943,0,706,17,0,13,164,458,55735,72636,332.027016949153,25.8374124293785,12.7344632768362,7,43
53063011702,117.02,429,261,6841,690,118,2471,194,2816,453,1898,3083,146,2725,0,2073,87,57,164,340,827,37020,47004,273.870095092025,26.0411012269939,15.920245398773,7,43
53063011800,118,61,128,5488,189,182,1765,187,2230,235,1416,2470,377,1983,0,1529,183,0,360,504,1224,39885,49682,252.842942028986,19.287231884058,12.731884057971,6,43
53063011900,119,187,144,4858,331,454,1744,51,1787,52,1076,1873,189,1801,8,1584,73,21,36,225,817,53038,63538,263.828249452954,23.8445623632385,13.0437636761488,7,43
53063012000,120,7,76,3891,83,40,1405,180,1528,276,912,1762,80,1697,7,1478,77,0,9,136,751,50679,60373,263.083823095823,16.7320417690418,13.4643734643735,8,43
53063012100,121,13,61,2477,74,142,792,40,958,116,655,1008,111,956,0,725,61,21,17,146,377,49646,59621,258.654218487395,20.1078907563025,11.3949579831933,7,43
53063012200,122,18,38,2247,56,53,690,61,774,116,476,846,116,772,5,647,60,18,23,167,269,53889,61092,189.040409340659,24.6042445054945,18.2554945054945,8,43
53063012300,123,210,224,5716,434,78,1773,138,1955,275,1432,2246,287,2147,106,1685,209,78,62,324,921,51847,63688,238.473749430524,29.61730523918,15.5170842824601,8,43
53063012401,124.01,23,102,5731,125,207,1765,106,1667,33,1428,1825,343,1774,0,1618,154,20,150,244,1463,92024,111182,233.596218274112,31.2918121827411,19.2791878172589,7,43
53063012402,124.02,203,154,6144,357,252,2144,71,2242,77,1955,2394,53,2302,0,1982,182,58,12,133,1037,107585,124313,251.641652519894,19.9231034482759,21.6419098143236,7,43
53063012500,125,154,149,3426,303,31,958,66,1132,154,867,1221,124,1229,0,1027,13,59,19,97,560,55873,68908,254.138337962963,16.7505324074074,13.1527777777778,7,43
53063012600,126,10,174,3969,184,199,1497,112,1480,100,1115,1644,72,1471,0,1207,99,0,70,175,552,59395,63536,302.267728301887,27.1485509433962,13.422641509434,7,43
53063012701,127.01,268,176,3291,444,44,1390,207,1314,128,956,1561,285,1491,7,1306,66,26,101,254,824,48841,71366,261.545273148148,25.171712962963,14.2037037037037,6,43
53063012702,127.02,112,24,2776,136,150,820,21,821,18,677,857,42,826,0,744,36,26,13,60,440,72740,81203,254.85187283237,26.8958265895954,13.5375722543353,6,43
53063012801,128.01,172,150,4000,322,54,1295,73,1442,162,1072,1591,48,1525,0,1174,132,0,0,114,608,55551,68054,275.763164874552,28.3459139784946,14.5555555555556,6,43
53063012802,128.02,136,178,3361,314,142,1186,33,1238,39,1005,1315,146,1293,0,1153,67,29,0,168,781,66430,79733,317.442212669683,26.3362760180995,12.8235294117647,6,43
53063012901,129.01,103,134,2858,237,169,944,170,854,47,670,1061,136,955,0,854,73,0,28,214,756,57846,57501,272.58757615894,19.3254072847682,14.2019867549669,6,43
53063012902,129.02,90,195,7346,285,176,2352,242,2143,123,1628,2500,139,2257,14,1987,49,45,127,255,1267,69663,85284,265.873103225806,16.7085784946237,15.0279569892473,6,43
53063013001,130.01,47,23,1036,70,122,380,20,360,0,271,400,0,400,0,339,0,0,0,0,187,116818,119762,197.123827586207,14.7431724137931,14.4137931034483,6,43
53063013002,130.02,124,109,2576,233,18,1007,100,1110,174,677,1230,79,1137,0,901,22,0,0,172,410,50394,53316,280.073662162162,32.1770135135135,14.8873873873874,6,43
