label,has_internet_subscription,dial_up_only,broadband,satellite,other_internet_service,internet_without_subscription,no_internet_access,tract,county,standardized_has_internet_subscription,standardized_dial_up_only,standardized_broadband,standardized_satellite,standardized_other_internet_service,standardized_internet_without_subscription,standardized_no_internet_access,index
Estimate,1192,0,720,166,99,18,26,103.03,Spokane,-0.202773772,-0.501577801,-0.642384539,0.457601245,2.456027371,-0.449369827,-1.219717022,-0.102194344
Estimate,1928,28,1170,413,70,40,289,103.04,Spokane,1.201906256,1.64552717,0.252275726,2.840005512,1.486514037,-0.037822301,1.360554639,8.748961039
Estimate,2512,0,1990,284,76,21,111,103.05,Spokane,2.316489322,-0.501577801,1.882545541,1.595753891,1.687103003,-0.393249709,-0.385788919,6.201275328
Estimate,1583,0,1316,75,0,35,134,104.01,Spokane,0.543462493,-0.501577801,0.542543278,-0.420126644,-0.853690561,-0.13135583,-0.160137785,-0.980882849
Estimate,1130,0,426,400,60,4,88,104.03,Spokane,-0.321102796,-0.501577801,-1.226895912,2.714615814,1.152199095,-0.711263706,-0.611440053,0.494534642
Estimate,1048,45,578,231,20,2,209,104.04,Spokane,-0.477602473,2.949126617,-0.924699556,1.084549736,-0.185060676,-0.748677118,0.57568113,2.27331766
Estimate,1288,7,1091,77,9,0,40,105.04,Spokane,-0.019554638,0.035198442,0.095213146,-0.400835921,-0.552807113,-0.786090529,-1.082364158,-2.711240771
Estimate,1212,0,1081,80,58,0,29,105.05,Spokane,-0.164603119,-0.501577801,0.075331807,-0.371899837,1.085336106,-0.786090529,-1.190284266,-1.853787638
Estimate,2187,14,1937,86,0,89,125,105.06,Spokane,1.696216212,0.571974685,1.777174443,-0.314027668,-0.853690561,0.878806278,-0.248436055,3.508017334
Estimate,1525,0,1459,73,0,31,102,105.07,Spokane,0.432767599,-0.501577801,0.826846429,-0.439417366,-0.853690561,-0.206182652,-0.474087189,-1.215341541
Estimate,1253,0,1072,115,0,14,55,105.08,Spokane,-0.08635328,-0.501577801,0.057438601,-0.034312187,-0.853690561,-0.524196649,-0.935200375,-2.877892253
Estimate,1285,0,1195,114,9,6,81,106.01,Spokane,-0.025280236,-0.501577801,0.301979074,-0.043957549,-0.552807113,-0.673850295,-0.680116485,-2.175610404
Estimate,1850,0,1722,94,0,20,40,106.03,Spokane,1.05304071,-0.501577801,1.34972565,-0.236864777,-0.853690561,-0.411956415,-1.082364158,-0.683687352
Estimate,1259,0,1197,99,0,14,69,106.04,Spokane,-0.074902085,-0.501577801,0.305955341,-0.18863797,-0.853690561,-0.524196649,-0.797847511,-2.634897235
Estimate,1390,0,1336,63,0,57,15,107.01,Spokane,0.175115692,-0.501577801,0.582305956,-0.535870981,-0.853690561,0.280191696,-1.32763713,-2.181163127
Estimate,1124,0,1001,123,0,11,27,107.02,Spokane,-0.332553992,-0.501577801,-0.083718907,0.042850704,-0.853690561,-0.580316766,-1.209906103,-3.518913426
Estimate,750,0,674,11,0,28,193,108,Spokane,-1.046345202,-0.501577801,-0.733838699,-1.037429774,-0.853690561,-0.26230277,0.418706428,-4.016478378
Estimate,759,0,648,10,8,13,41,109.01,Spokane,-1.029168408,-0.501577801,-0.785530181,-1.047075135,-0.586238607,-0.542903355,-1.072553239,-5.565046726
Estimate,685,0,612,34,0,0,0,109.02,Spokane,-1.170399824,-0.501577801,-0.857103002,-0.815586461,-0.853690561,-0.786090529,-1.474800913,-6.459249091
Estimate,1319,8,1111,50,10,7,150,110,Spokane,0.039609874,0.111880763,0.134975824,-0.661260679,-0.519375619,-0.655143589,-0.003163083,-1.552476509
Estimate,1604,0,1433,14,17,33,92,111.02,Spokane,0.583541679,-0.501577801,0.775154947,-1.00849369,-0.285355159,-0.168769241,-0.572196377,-1.177695642
Estimate,1385,38,1147,56,0,36,264,111.03,Spokane,0.165573029,2.412350374,0.206548645,-0.60338851,-0.853690561,-0.112649124,1.115281667,2.33002552
Estimate,1119,40,940,35,16,15,160,111.04,Spokane,-0.342096655,2.565715015,-0.204995076,-0.8059411,-0.318786653,-0.505489944,0.094946105,0.483351692
Estimate,1450,0,1218,181,10,42,110,112.02,Spokane,0.289627651,-0.501577801,0.347706154,0.602281666,-0.519375619,-0.00040889,-0.395599838,-0.177346676
Estimate,2125,14,1974,66,0,94,439,112.03,Spokane,1.577887188,0.571974685,1.850735398,-0.506934896,-0.853690561,0.972339807,2.832192468,6.444504088
Estimate,865,12,804,91,9,0,116,112.04,Spokane,-0.826863947,0.418610044,-0.47538129,-0.265800861,-0.552807113,-0.786090529,-0.336734324,-2.82506802
Estimate,1465,0,1132,167,0,0,127,113.01,Spokane,0.318255641,-0.501577801,0.176726637,0.467246606,-0.853690561,-0.786090529,-0.228814217,-1.407944225
Estimate,1899,1,1561,40,2,79,37,113.02,Spokane,1.146558809,-0.42489548,1.029636089,-0.757714293,-0.786827573,0.691739221,-1.111796915,-0.213300141
Estimate,2006,0,1677,55,24,0,109,114,Spokane,1.350771803,-0.501577801,1.260259624,-0.613033872,-0.051334699,-0.786090529,-0.405410757,0.253583769
Estimate,585,0,505,27,20,13,31,115,Spokane,-1.361253088,-0.501577801,-1.069833332,-0.883103991,-0.185060676,-0.542903355,-1.170662428,-5.714394671
Estimate,683,0,567,28,8,3,78,116,Spokane,-1.174216889,-0.501577801,-0.946569029,-0.87345863,-0.586238607,-0.729970412,-0.709549241,-5.521580609
Estimate,943,0,706,17,0,13,164,117.01,Spokane,-0.677998401,-0.501577801,-0.670218414,-0.979557605,-0.853690561,-0.542903355,0.134189781,-4.091756356
Estimate,2725,0,2073,87,57,164,340,117.02,Spokane,2.723006776,-0.501577801,2.047560656,-0.304382307,1.051904612,2.281809205,1.860911501,9.159232643
Estimate,1983,0,1529,183,0,360,504,118,Spokane,1.306875552,-0.501577801,0.966015803,0.621572388,-0.853690561,5.948323522,3.469902194,10.9574211
Estimate,1801,8,1584,73,21,36,225,119,Spokane,0.95952261,0.111880763,1.075363169,-0.439417366,-0.151629182,-0.112649124,0.732655832,2.175726701
Estimate,1697,7,1478,77,0,9,136,120,Spokane,0.761035215,0.035198442,0.864620973,-0.400835921,-0.853690561,-0.617730178,-0.140515947,-0.351917977
Estimate,956,0,725,61,21,17,146,121,Spokane,-0.653187476,-0.501577801,-0.632443869,-0.555161703,-0.151629182,-0.468076532,-0.042406759,-3.004483322
Estimate,772,5,647,60,18,23,167,122,Spokane,-1.004357483,-0.118166199,-0.787518315,-0.564807065,-0.251923664,-0.355836298,0.163622538,-2.918986487
