"tract","county","dataset","estimate_estimate_total","estimate_estimate_total_has_a_computer","estimate_estimate_total_has_a_computer_with_dial-up_internet_subscription_alone","estimate_estimate_total_has_a_computer_with_a_broadband_internet_subscription","estimate_estimate_total_has_a_computer_without_an_internet_subscription","estimate_estimate_total_no_computer","moe_estimate_total","moe_estimate_total_has_a_computer","moe_estimate_total_has_a_computer_with_dial-up_internet_subscription_alone","moe_estimate_total_has_a_computer_with_a_broadband_internet_subscription","moe_estimate_total_has_a_computer_without_an_internet_subscription","moe_estimate_total_no_computer"
104.03,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1222,1148,0,1128,20,74,194,189,13,190,17,63
104.04,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1259,1157,45,979,133,102,135,137,48,145,94,69
128.02,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1461,1315,0,1293,22,146,217,179,13,180,24,163
105.04,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1328,1307,7,1270,30,21,111,111,12,111,27,23
129.01,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1197,1061,0,955,106,136,144,139,13,135,71,64
105.05,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1241,1241,0,1212,29,0,172,172,13,172,26,13
129.02,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2639,2500,14,2208,278,139,275,295,22,294,113,89
105.06,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2401,2264,14,2173,77,137,217,214,23,218,47,62
130.01,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",400,400,0,400,0,0,77,77,13,77,13,13
105.07,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1658,1590,0,1525,65,68,183,192,13,192,54,70
130.02,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1309,1230,0,1120,110,79,191,177,13,166,103,67
105.08,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1322,1313,0,1253,60,9,216,219,13,222,70,17
130.03,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2328,2178,0,2125,53,150,314,306,18,303,60,80
106.01,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1372,1291,0,1285,6,81,122,134,13,136,11,53
131.01,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",3423,3365,0,2927,438,58,701,691,18,499,482,68
106.03,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1910,1884,0,1850,34,26,275,271,13,271,36,30
131.02,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2065,1981,19,1942,20,84,254,249,36,265,31,90
106.04,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1342,1273,0,1259,14,69,183,188,13,188,23,55
132.01,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2696,2637,18,2465,154,59,194,200,28,224,94,43
107.01,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1462,1447,0,1390,57,15,161,160,13,160,61,28
132.03,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1061,1049,0,1026,23,12,227,226,13,229,27,19
107.02,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1162,1135,0,1124,11,27,136,138,13,135,18,33
132.04,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1602,1550,0,1478,72,52,246,247,13,238,72,49
108,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",971,823,0,750,73,148,141,104,13,100,36,103
132.05,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1211,1211,0,1141,70,0,222,222,13,226,78,13
109.01,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",813,803,0,759,44,10,128,128,13,130,37,15
133,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1208,1182,12,1090,80,26,177,178,18,188,46,23
109.02,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",685,685,0,685,0,0,86,86,13,86,13,13
134.01,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2019,2003,0,1977,26,16,242,248,18,246,24,18
110,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1476,1388,8,1311,69,88,172,170,14,161,55,52
135.01,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",651,633,0,571,62,18,101,109,13,106,51,30
111.02,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1729,1627,0,1552,75,102,232,211,13,216,42,89
135.02,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",893,875,0,857,18,18,165,164,13,170,32,30
