Label,With_Social_Security_income,No_Social_Security_income,tract,county,Standardized_With_Social_Security_income,Standardized_No_Social_Security_income,Index
Estimate,378,931,130.02,Spokane,-0.547688632,-0.11621777,-0.663906402
Estimate,729,"1,599",130.03,Spokane,0.913929379,1.434418015,2.348347394
Estimate,"1,137","2,286",131.01,Spokane,2.612904161,3.02915871,5.642062871
Estimate,593,"1,472",131.02,Spokane,0.347604452,1.139611511,1.487215963
Estimate,"1,163","1,533",132.01,Spokane,2.721172162,1.281211485,4.002383647
Estimate,381,680,132.03,Spokane,-0.535196171,-0.698866845,-1.234063015
Estimate,560,"1,042",132.04,Spokane,0.210187374,0.141447757,0.351635131
Estimate,254,957,132.05,Spokane,-1.064043713,-0.055863682,-1.119907395
Estimate,298,910,133,Spokane,-0.880820942,-0.164965302,-1.045786244
Estimate,744,"1,275",134.01,Spokane,0.976391687,0.682313233,1.65870492
Estimate,271,380,135.01,Spokane,-0.993253097,-1.395260161,-2.388513259
Estimate,284,609,135.02,Spokane,-0.939119097,-0.86367993,-1.802799026
Estimate,620,"1,591",135.03,Spokane,0.460036606,1.415847527,1.875884133
Estimate,512,"1,450",136,Spokane,0.010307987,1.088542668,1.098850655
Estimate,368,"1,009",137,Spokane,-0.589330171,0.064844492,-0.524485679
Estimate,0,826,138,Spokane,-2.121738798,-0.359955431,-2.481694229
Estimate,668,"1,489",139,Spokane,0.659915992,1.179073799,1.838989791
Estimate,337,"1,396",140.01,Spokane,-0.718418941,0.963191871,0.24477293
Estimate,345,"2,249",140.02,Spokane,-0.68510571,2.943270201,2.258164491
Estimate,960,"1,417",141,Spokane,1.875848925,1.011939403,2.887788328
Estimate,458,"1,046",142,Spokane,-0.214556322,0.150733001,-0.06382332
Estimate,346,788,143,Spokane,-0.680941556,-0.448165251,-1.129106807
Estimate,511,"1,218",144,Spokane,0.006143834,0.549998503,0.556142337
Estimate,319,549,145,Spokane,-0.793373711,-1.002958593,-1.796332304
Estimate,386,472,9410,Stevens,-0.514375401,-1.181699544,-1.696074945
Estimate,950,926,9501.01,Stevens,1.834207386,-0.127824325,1.706383061
Estimate,628,682,9501.02,Stevens,0.493349837,-0.694224223,-0.200874385
Estimate,540,948,9502,Stevens,0.126904296,-0.076755482,0.050148814
Estimate,418,623,9503,Stevens,-0.381122477,-0.831181575,-1.212304052
Estimate,674,497,9505,Stevens,0.684900916,-1.123666768,-0.438765852
Estimate,508,495,9506,Stevens,-0.006348628,-1.12830939,-1.134658018
Estimate,496,526,9507,Stevens,-0.056318475,-1.056348747,-1.112667222
Estimate,764,615,9508,Stevens,1.059674765,-0.849752063,0.209922701
Estimate,430,275,9509,Stevens,-0.331152631,-1.638997822,-1.970150453
Estimate,841,666,9511,Stevens,1.380314613,-0.7313652,0.648949414
Estimate,428,532,9513.01,Stevens,-0.339480938,-1.042420881,-1.381901819
Estimate,278,341,9513.02,Stevens,-0.96410402,-1.485791293,-2.449895313
Estimate,809,595,9514.01,Stevens,1.247061689,-0.896178285,0.350883405
Estimate,540,"1,000",9514.02,Stevens,0.126904296,0.043952693,0.170856989
Estimate,91,"1,086",1,Whitman,-1.742800795,0.243585444,-1.499215351
Estimate,268,"1,637",2.01,Whitman,-1.005745559,1.522627835,0.516882277
Estimate,103,842,2.02,Whitman,-1.692830949,-0.322814454,-2.015645402
Estimate,561,"1,831",3,Whitman,0.214351527,1.97296218,2.187313708
Estimate,713,"1,285",4,Whitman,0.847302917,0.705526344,1.552829261
Estimate,0,447,5,Whitman,-2.121738798,-1.239732321,-3.361471119
Estimate,109,"2,141",6.01,Whitman,-1.667846025,2.692568607,1.024722582
Estimate,76,"1,921",6.02,Whitman,-1.805263103,2.181880175,0.376617072
Estimate,538,942,7,Whitman,0.118575988,-0.090683348,0.02789264
Estimate,582,842,8,Whitman,0.301798759,-0.322814454,-0.021015695
Estimate,630,957,9,Whitman,0.501678145,-0.055863682,0.445814463
Estimate,307,576,10,Whitman,-0.843343558,-0.940283195,-1.783626752
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
