state,county,tract,tractname,block,tractcode,blockcode
53,001,950100, 9501,3015,53001950100,530019501003015
53,001,950100, 9501,3016,53001950100,530019501003016
53,001,950100, 9501,3017,53001950100,530019501003017
53,001,950100, 9501,3018,53001950100,530019501003018
53,001,950100, 9501,3019,53001950100,530019501003019
53,001,950100, 9501,3020,53001950100,530019501003020
53,001,950100, 9501,3021,53001950100,530019501003021
53,001,950100, 9501,3022,53001950100,530019501003022
53,001,950100, 9501,3023,53001950100,530019501003023
53,001,950100, 9501,3024,53001950100,530019501003024
53,001,950100, 9501,3025,53001950100,530019501003025
53,001,950100, 9501,3026,53001950100,530019501003026
53,001,950100, 9501,3027,53001950100,530019501003027
53,001,950100, 9501,3028,53001950100,530019501003028
53,001,950100, 9501,3029,53001950100,530019501003029
53,001,950100, 9501,3030,53001950100,530019501003030
53,001,950100, 9501,3031,53001950100,530019501003031
53,001,950100, 9501,3032,53001950100,530019501003032
53,001,950100, 9501,3033,53001950100,530019501003033
53,001,950100, 9501,3034,53001950100,530019501003034
53,001,950100, 9501,3035,53001950100,530019501003035
53,001,950100, 9501,3036,53001950100,530019501003036
53,001,950100, 9501,3037,53001950100,530019501003037
53,001,950100, 9501,3038,53001950100,530019501003038
53,001,950100, 9501,3039,53001950100,530019501003039
53,001,950100, 9501,3040,53001950100,530019501003040
53,001,950100, 9501,3041,53001950100,530019501003041
53,001,950100, 9501,3042,53001950100,530019501003042
53,001,950100, 9501,3043,53001950100,530019501003043
53,001,950100, 9501,3044,53001950100,530019501003044
53,001,950100, 9501,3045,53001950100,530019501003045
53,001,950100, 9501,3046,53001950100,530019501003046
53,001,950100, 9501,3047,53001950100,530019501003047
53,001,950100, 9501,3048,53001950100,530019501003048
53,001,950100, 9501,3049,53001950100,530019501003049
53,001,950100, 9501,3050,53001950100,530019501003050
53,001,950100, 9501,3051,53001950100,530019501003051
53,001,950100, 9501,3052,53001950100,530019501003052
53,001,950100, 9501,3053,53001950100,530019501003053
53,001,950100, 9501,3054,53001950100,530019501003054
53,001,950100, 9501,3055,53001950100,530019501003055
53,001,950100, 9501,3056,53001950100,530019501003056
53,001,950100, 9501,3057,53001950100,530019501003057
53,001,950100, 9501,3058,53001950100,530019501003058
53,001,950100, 9501,3059,53001950100,530019501003059
53,001,950100, 9501,3060,53001950100,530019501003060
53,001,950100, 9501,3061,53001950100,530019501003061
53,001,950100, 9501,3062,53001950100,530019501003062
53,001,950100, 9501,3063,53001950100,530019501003063
53,001,950100, 9501,3064,53001950100,530019501003064
53,001,950100, 9501,3065,53001950100,530019501003065
53,001,950100, 9501,3066,53001950100,530019501003066
53,001,950100, 9501,3067,53001950100,530019501003067
53,001,950100, 9501,3068,53001950100,530019501003068
53,001,950100, 9501,3069,53001950100,530019501003069
53,001,950100, 9501,3070,53001950100,530019501003070
53,001,950100, 9501,3071,53001950100,530019501003071
53,001,950100, 9501,3072,53001950100,530019501003072
53,001,950100, 9501,3073,53001950100,530019501003073
53,001,950100, 9501,3074,53001950100,530019501003074
53,001,950100, 9501,3075,53001950100,530019501003075
53,001,950100, 9501,3076,53001950100,530019501003076
53,001,950100, 9501,3077,53001950100,530019501003077
53,001,950100, 9501,3078,53001950100,530019501003078
53,001,950100, 9501,3079,53001950100,530019501003079
53,001,950100, 9501,3080,53001950100,530019501003080
53,001,950200, 9502,1000,53001950200,530019502001000
53,001,950200, 9502,1001,53001950200,530019502001001
53,001,950200, 9502,1002,53001950200,530019502001002
