"GEOID","tract","not_citizen","naturalized_citizen","native_citizen","foreign_born","work_from_home","desktop_or_laptop","desktop_or_laptop_only","smartphone","smartphone_only","tablet_or_portable","has_computer","no_computer","internet_subscription","dial_up","broadband","satellite","other_internet_service","access_with_no_subscription","no_internet_access","sixty_five_and_older","median_income","mean_income","mean_d_mbps","mean_u_mbps","mean_lat_ms","number_providers","mean_lowest_cost"
53063000600,6,-0.32886524723486,-1.15379986415563,-0.247246951295497,-0.701815902231894,-0.32742772791033,-0.0909772704939976,-0.517635938203584,-0.120188784962135,-0.213612509484813,-0.534550013507074,-0.221093586008092,-1.05604463164755,-0.141700727162509,-0.50157780052958,-0.111552781978274,-0.651615317437934,-0.85369056118723,-0.374543003707121,-1.08236415804707,-0.923849596414929,0.202197852829267,-0.0697055570961128,0.874049299803249,-0.0575297409469662,-0.59356848512877,-0.296447540587057,0.723941324734776
53063000700,7,-0.279526473123381,-0.926435856466672,1.23010619235698,-0.575406148188157,-0.54055522763245,1.25014650295922,0.152868497676324,1.30415402238645,0.963042350453273,1.29538315339592,1.35903837118245,-0.0669382620847461,1.28969875786394,-0.50157780052958,1.45509674786152,-0.352609113779809,-0.519375618543825,0.71044592679162,0.261731726167012,0.0573352319033135,-0.316474958985854,-0.308650321621059,1.4241518148504,1.05614589674467,-0.701057370625521,-0.296447540587057,0.723941324734776
53063000800,8,-0.531702429693162,-0.536668986142741,1.2653885082877,-0.617542732869403,0.738209770700272,1.08472154411917,2.0898813124405,0.582358680824668,-0.986163680151234,0.919701509859544,0.817747493113715,0.1993596066437,0.900358097936743,0.188563082905857,1.03957675834818,-0.497289534904708,0.0155282896856227,0.149244755843995,-0.150326866073802,2.33938123583058,0.545344465612589,0.256252025416069,0.696635139154436,1.35304384341239,-0.47839390767695,-0.296447540587057,0.723941324734776
53063000900,9,-0.394650279383499,-0.60163013119673,1.91998807193859,-0.537483221975036,1.69220905517071,1.5849351101355,1.82912958737609,1.27335742114648,-0.189841704233539,1.76801489849007,1.43740708416883,1.12506172174735,1.47482642459402,0.341927723669288,1.56245597960181,-0.381545198004789,-0.85369056118723,-0.542903354991409,1.3115000444948,0.915080678594422,0.095780653213834,-0.356469539854044,0.926540368085004,1.30331505587493,-0.594292342946179,-0.296447540587057,0.723941324734776
53063001000,10,-0.564594945767481,-0.406746696034764,1.43879733764935,-0.592260782060656,-0.83487415582014,1.22454502123397,0.115618251238551,1.252184757794,1.04624016883273,1.1305679807477,1.34628067371955,1.01093406372087,1.36604006373201,-0.50157780052958,1.138983454404,-0.449062727863075,-0.15162918163608,-0.786090529068713,1.41942015198644,0.820127308112012,0.0241400259268164,-0.0284312160421678,0.759453103142347,1.36644475930193,-0.737645801481347,-0.296447540587057,0.723941324734776
53063001100,11,-0.433024881470204,-0.276824405926787,-0.145153441368293,-0.440569077208171,0.291656914139639,0.0685396541017592,-0.070632980950312,-0.127887935272127,-0.70091401713594,0.0859306364626831,-0.140902344812725,-0.0288957094092538,0.0968658536752321,-0.50157780052958,0.403373903590897,-0.545516341946342,0.0155282896856227,-0.786090529068713,-0.866523943063787,-0.33197358707457,0.315765790816189,-0.00664017988536461,0.946034799495148,1.25354294058175,-0.722573785650035,-0.296447540587057,0.723941324734776
53063001200,12,-0.323383161222474,-0.450054126070756,-0.8748217623186,-0.423714443335673,0.301805842697835,-0.748738416357983,-0.387260075671379,-0.824661038326436,-0.48697676987447,-0.752687742012066,-0.829818007809292,-0.586853148649808,-0.748614108813721,-0.50157780052958,-0.489298226990408,-0.757714292929527,-0.85369056118723,-0.449369826500138,-0.837091186475157,-1.05994942743972,-0.495865221609701,-0.590344861939734,0.481547533525178,0.290443498968607,-0.733393308666797,-0.296447540587057,0.723941324734776
53063001300,13,-0.378204021346339,-0.753206136322703,-0.134643815346375,-0.583833465124407,-0.368023442143115,0.0153673459031736,-0.126508350606971,0.135807962845111,-0.0115606648489804,0.0374555856837959,0.0577532299667086,-0.016214858517423,0.119768245435655,-0.50157780052958,0.435184046328761,-0.333318390963156,-0.519375618543825,-0.224889358121088,-0.199381460388184,-0.768759091293658,-0.656601384134014,-0.782643189691524,0.809689479209202,-0.234988169000921,-0.748948065357726,0.205019794424694,-0.281495936867499
53063001400,14,2.2531972645992,2.89544484420965,1.33745451529514,2.85872550333336,-0.459363799166881,1.77990024019698,-0.312759582795834,1.82962103104343,-0.534518380377019,1.24690810261703,1.69985114626276,-0.104980814760239,1.77064898483282,0.341927723669288,1.80699645189914,-0.854167907012793,-0.85369056118723,-0.561610060689663,0.261731726167012,-0.322478250026329,-0.897461348038227,-1.00596347863876,1.11333042504508,1.46558423430594,-0.797577493696674,0.205019794424694,-0.281495936867499
53063001500,15,-0.433024881470204,-0.839820996394687,1.64523642022274,-0.659679317550649,-0.0432577282808363,0.915357895782937,0.935123672869549,1.36959680002139,1.83067674212479,0.740343821977661,1.28978229924099,2.49459361806507,1.20190625611565,-0.50157780052958,1.42726287296589,0.0524960653699088,-0.118197687371739,-0.786090529068713,3.1068981964012,0.462469612628265,-0.497863875191794,-0.866894296499164,0.737622607218004,2.43869679006153,-0.752252631638852,-0.296447540587057,0.723941324734776
