"NAME","GEOID","has_computer","with_internet","total_population","65_and_older","number_providers","mean_lowest_cost","mean_d_mbps","mean_u_mbps","mean_lat_ms","index"
"Census Tract 19, Spokane County, Washington",53063001900,-0.0169704266017022,0.0434269395675781,-0.0640099514390744,-0.737107967799522,-0.296447540587057,0.723941324734776,0.535953383488691,1.15036218001253,-0.458568341759021,2.05881105406367
"Census Tract 20, Spokane County, Washington",53063002000,0.385808307584121,0.413682273027752,0.234975455282728,-0.657980159064179,-0.296447540587057,0.723941324734776,0.76284342978348,2.12530453271259,-0.80556977460992,4.4057611019872
"Census Tract 21, Spokane County, Washington",53063002100,-0.560083832879419,-0.452791548574922,-0.808625988179562,-1.10742611268092,-0.296447540587057,0.723941324734776,0.667187666960741,1.45767863376709,-0.81649927690081,1.62628543614047
"Census Tract 23, Spokane County, Washington",53063002300,0.956259636996623,1.0568577749663,0.770301707317954,0.753659948774324,-0.296447540587057,0.723941324734776,0.719288447100717,1.0298415098061,-0.771785875499287,4.15308836556969
"Census Tract 24, Spokane County, Washington",53063002400,-0.736869069151025,-0.731437314993403,-0.544522212241971,-0.702291731955971,-0.296447540587057,0.723941324734776,0.0107594604334257,0.546828628129517,-0.54274867422391,-0.563796374279831
"Census Tract 25.01, Spokane County, Washington",53063002501,-0.532745909744635,-0.475693940335346,-0.337368037584722,-1.06627965213854,-0.296447540587057,0.723941324734776,0.876123889400286,2.11270044977308,-0.417114711794241,2.29953737181571
"Census Tract 25.02, Spokane County, Washington",53063002502,-1.02118346975278,-1.09024145257337,-0.818592168403622,-1.08527032623503,-0.296447540587057,0.723941324734776,0.443664714266026,1.5902705511258,-0.679752191953233,0.407667584274044
"Census Tract 25.03, Spokane County, Washington",53063002503,-2.19124657992156,-2.15711120207974,-0.382215848592992,-1.99682268286617,-0.296447540587057,0.723941324734776,0.642037086997335,0.243128902003645,-0.786909471031945,-2.54473540454428
"Census Tract 26, Spokane County, Washington",53063002600,1.15856026819403,1.26297930081011,0.793793417846096,-0.93334493346317,-0.296447540587057,0.723941324734776,0.00291460653174465,-0.588785019681728,-0.661583762962016,2.65540404856945
"Census Tract 29, Spokane County, Washington",53063002900,-0.385121124816799,-0.250487088024518,-0.353029177936816,-0.721282406052453,-0.296447540587057,0.723941324734776,1.14627455062535,-0.250186544698214,-0.685982058752911,0.548274668941413
