Label,Tract,County,Total households,Has one or more types of computing devices:,Desktop or laptop,Desktop or laptop with no other type of computing device,Smartphone,Smartphone with no other type of computing device,Tablet or other portable wireless computer,Tablet or other portable wireless computer with no other type of computing device,Other computer,Other computer with no other type of computing device,No computer,With an Internet subscription:,Dial-up with no other type of Internet subscription,Broadband of any type,Cellular data plan,Cellular data plan with no other type of Internet subscription,"Broadband such as cable, fiber optic or DSL",Satellite Internet service,Without an Internet subscription,"Less than $20,000:",With dial-up Internet subscription alone,With a broadband Internet subscription,Without an Internet subscription,"$20,000 to $74,999:",With dial-up Internet subscription alone,With a broadband Internet subscription,Without an Internet subscription,"$75,000 or more:",With dial-up Internet subscription alone,With a broadband Internet subscription,Without an Internet subscription
Estimate,25.02,Spokane,"1,014",828,674,72,728,65,483,12,50,0,186,727,0,727,591,108,597,22,287,257,0,180,77,654,0,547,107,103,0,0,103
Estimate,25.03,Spokane,197,186,186,0,186,0,99,0,17,0,11,168,0,168,168,0,126,17,29,80,0,69,11,35,0,17,18,82,0,82,0
Estimate,26,Spokane,"2,083","2,024","1,418",160,"1,838",311,954,26,0,0,59,"1,960",0,"1,960","1,759",213,"1,682",161,123,450,0,376,74,"1,266",0,"1,217",49,367,0,367,0
Estimate,29,Spokane,"1,227","1,177","1,022",188,969,71,758,0,31,0,50,"1,167",0,"1,167",960,195,954,48,60,96,0,74,22,625,0,595,30,506,0,498,8
Estimate,30,Spokane,966,853,738,38,759,23,599,10,9,0,113,778,11,767,718,88,679,48,188,226,0,158,68,475,11,382,82,265,0,227,38
Estimate,31,Spokane,"2,184","2,066","1,781",84,"1,885",173,"1,234",24,29,0,118,"2,042",14,"2,028","1,864",253,"1,760",96,142,403,14,334,55,"1,099",0,"1,040",59,682,0,654,28
Estimate,32,Spokane,"1,574","1,416","1,219",66,"1,231",149,928,30,52,0,158,"1,349",27,"1,322","1,010",99,"1,162",93,225,262,0,186,76,"1,023",27,851,145,289,0,285,4
Estimate,35,Spokane,"1,838","1,462","1,099",155,"1,197",207,702,45,16,0,376,"1,332",14,"1,318","1,031",284,"1,002",54,506,"1,077",14,638,425,494,0,461,33,267,0,219,48
Estimate,36.01,Spokane,"1,218","1,138",930,19,"1,119",123,555,0,9,0,80,"1,093",0,"1,093","1,011",189,875,35,125,378,0,315,63,601,0,539,62,239,0,239,0
Estimate,36.02,Spokane,"1,699","1,533","1,283",63,"1,416",174,736,54,78,0,166,"1,491",0,"1,491","1,421",236,"1,238",28,208,582,0,515,67,813,0,722,91,304,0,254,50
