label,not_US_citizen,naturalized_citizen,naturalized_2015_or_later,naturalized_2010_to_2014,naturalized_2005_to_2009,naturalized_2000_to_2004,naturalized_1995_to_1999,naturalized_1990_to_1994,naturalized_before_1990,tract,county,standardized_not_US_citizen,standardized_naturalized_citizen,standardized_naturalized_2015_or_later,standardized_naturalized_2010_to_2014,standardized_naturalized_2005_to_2009,standardized_naturalized_2000_to_2004,standardized_naturalized_1995_to_1999,standardized_naturalized_1990_to_1994,standardized_naturalized_before_1990,index
Estimate,48,37,0,0,8,1,0,11,17,21,Spokane,-0.372721935,-0.753206136,-0.576139264,-0.63210376,-0.322143555,-0.513485275,-0.526855293,0.567684233,-0.272057422,-3.401028408
Estimate,33,66,0,23,0,11,0,0,32,23,Spokane,-0.454953226,-0.439227269,-0.576139264,0.120519925,-0.543977123,0.012061735,-0.526855293,-0.441810786,0.421347985,-2.429033315
Estimate,47,39,9,0,0,1,10,0,19,24,Spokane,-0.378204021,-0.731552421,-0.279792803,-0.63210376,-0.543977123,-0.513485275,-0.075265042,-0.441810786,-0.179603368,-3.7757946
Estimate,45,14,0,0,0,0,0,0,14,25.01,Spokane,-0.389168193,-1.002223859,-0.576139264,-0.63210376,-0.543977123,-0.566039976,-0.526855293,-0.441810786,-0.410738503,-5.089056758
Estimate,70,81,69,0,0,0,12,0,0,25.02,Spokane,-0.252116043,-0.276824406,1.695850268,-0.63210376,-0.543977123,-0.566039976,0.015053008,-0.441810786,-1.057916883,-2.059885701
Estimate,51,103,39,0,5,42,0,0,17,25.03,Spokane,-0.356275677,-0.038633541,0.708028733,-0.63210376,-0.405331143,1.641257466,-0.526855293,-0.441810786,-0.272057422,-0.323781424
Estimate,479,163,20,25,10,18,13,22,55,26,Spokane,1.990057136,0.61097791,0.082408427,0.185965463,-0.266685163,0.379944642,0.060212034,1.577179253,1.484569609,6.104629309
Estimate,132,199,50,4,70,0,29,0,46,29,Spokane,0.08777329,1.00074478,1.070229963,-0.501212685,1.397066594,-0.566039976,0.782756436,-0.441810786,1.068526365,3.898033981
Estimate,164,158,60,11,39,18,0,0,30,30,Spokane,0.263200042,0.556843622,1.399503808,-0.272153302,0.53746152,0.379944642,-0.526855293,-0.441810786,0.328893931,2.225028183
Estimate,277,189,32,38,21,65,0,0,33,31,Spokane,0.882675762,0.892476205,0.477537041,0.611361459,0.038335992,2.850015589,-0.526855293,-0.441810786,0.467575012,5.251310981
Estimate,60,200,18,122,18,0,0,32,10,32,Spokane,-0.306936903,1.011571638,0.016553658,3.360074048,-0.044851596,-0.566039976,-0.526855293,2.494901997,-0.595646612,4.84277096
Estimate,76,26,0,0,0,0,9,0,17,35,Spokane,-0.219223527,-0.872301569,-0.576139264,-0.63210376,-0.543977123,-0.566039976,-0.120424067,-0.441810786,-0.272057422,-4.244077494
Estimate,34,19,10,0,0,9,0,0,0,36.01,Spokane,-0.44947114,-0.948089571,-0.246865418,-0.63210376,-0.543977123,-0.093047667,-0.526855293,-0.441810786,-1.057916883,-4.940137643
Estimate,104,18,0,0,0,0,17,1,0,36.02,Spokane,-0.065725119,-0.958916429,-0.576139264,-0.63210376,-0.543977123,-0.566039976,0.240848134,-0.350038511,-1.057916883,-4.510008932
Estimate,40,97,0,22,10,5,15,0,45,38,Spokane,-0.416578623,-0.103594686,-0.576139264,0.087797156,-0.266685163,-0.303266471,0.150530084,-0.441810786,1.022299338,-0.847448416
Estimate,52,81,0,15,2,17,23,0,24,39,Spokane,-0.350793591,-0.276824406,-0.576139264,-0.141262226,-0.488518731,0.327389941,0.511802285,-0.441810786,0.051531768,-1.384625011
Estimate,349,87,0,6,41,0,0,0,40,40.01,Spokane,1.277385954,-0.211863261,-0.576139264,-0.435767147,0.592919911,-0.566039976,-0.526855293,-0.441810786,0.791164202,-0.097005659
Estimate,27,58,48,0,0,0,0,10,0,40.02,Spokane,-0.487845742,-0.525842129,1.004375193,-0.63210376,-0.543977123,-0.566039976,-0.526855293,0.475911959,-1.057916883,-2.860293754
Estimate,38,49,0,12,0,9,28,0,0,41,Spokane,-0.427542795,-0.623283846,-0.576139264,-0.239430533,-0.543977123,-0.093047667,0.737597411,-0.441810786,-1.057916883,-3.265551488
Estimate,65,154,0,18,0,36,14,7,79,42,Spokane,-0.279526473,0.513536192,-0.576139264,-0.04309392,-0.543977123,1.32592926,0.105371059,0.200595135,2.594018261,3.296713128
Estimate,59,168,66,12,7,19,29,0,35,43,Spokane,-0.312418989,0.665112197,1.597068115,-0.239430533,-0.349872751,0.432499343,0.782756436,-0.441810786,0.560029067,2.693932098
Estimate,30,111,35,0,44,0,0,0,32,44,Spokane,-0.471399484,0.047981319,0.576319195,-0.63210376,0.676107499,-0.566039976,-0.526855293,-0.441810786,0.421347985,-0.916453301
Estimate,21,93,0,0,38,0,18,0,37,45,Spokane,-0.520738258,-0.146902116,-0.576139264,-0.63210376,0.509732324,-0.566039976,0.286007159,-0.441810786,0.652483121,-1.435511556
Estimate,63,156,54,7,28,0,17,0,50,46.01,Spokane,-0.290490645,0.535189907,1.201939501,-0.403044378,0.232440364,-0.566039976,0.240848134,-0.441810786,1.253434474,1.762466594
Estimate,79,168,4,18,0,36,43,0,67,46.02,Spokane,-0.202777269,0.665112197,-0.444429726,-0.04309392,-0.543977123,1.32592926,1.414982788,-0.441810786,2.039293935,3.769229357
Estimate,52,152,19,32,26,0,36,0,39,47.01,Spokane,-0.350793591,0.491882477,0.049481042,0.415024845,0.176981972,-0.566039976,1.098869612,-0.441810786,0.744937175,1.61853277
Estimate,187,109,21,23,8,0,0,0,57,47.02,Spokane,0.38928802,0.026327604,0.115335811,0.120519925,-0.322143555,-0.566039976,-0.526855293,-0.441810786,1.577023664,0.371645414
Estimate,101,167,62,30,15,9,33,0,18,48,Spokane,-0.082171377,0.65428534,1.465358577,0.349579307,-0.128039184,-0.093047667,0.963392536,-0.441810786,-0.225830395,2.461716352
