Label,With_cash_public_assistance_or_Food_Stamps,No_cash_public_assistance_or_Food_Stamps,tract,county,standardize_With_cash_public_assistance_or_Food_Stamps,standardize_No_cash_public_assistance_or_Food_Stamps,index
Estimate,170,"1,209",9508,Stevens,-0.356847306,-0.084267558,-0.441114864
Estimate,58,647,9509,Stevens,-0.947205074,-1.163274184,-2.110479259
Estimate,229,"1,278",9511,Stevens,-0.045855268,0.048208345,0.002353077
Estimate,150,810,9513.01,Stevens,-0.462268336,-0.850323864,-1.3125922
Estimate,73,546,9513.02,Stevens,-0.868139302,-1.357188186,-2.225327488
Estimate,126,"1,278",9514.01,Stevens,-0.588773572,0.048208345,-0.540565227
Estimate,57,"1,483",9514.02,Stevens,-0.952476126,0.441796171,-0.510679954
Estimate,182,995,1,Whitman,-0.293594688,-0.49513485,-0.788729538
Estimate,291,"1,614",2.01,Whitman,0.280949925,0.693308392,0.974258318
Estimate,135,810,2.02,Whitman,-0.541334109,-0.850323864,-1.391657972
Estimate,80,"2,312",3,Whitman,-0.831241941,2.033426943,1.202185001
Estimate,151,"1,847",4,Whitman,-0.456997285,1.140654556,0.683657271
Estimate,27,420,5,Whitman,-1.110607671,-1.599100704,-2.709708375
Estimate,93,"2,157",6.01,Whitman,-0.762718272,1.735836147,0.973117875
Estimate,141,"1,856",6.02,Whitman,-0.5097078,1.157934021,0.648226222
Estimate,181,"1,299",7,Whitman,-0.29886574,0.088527098,-0.210338642
Estimate,201,"1,223",8,Whitman,-0.19344471,-0.057388389,-0.250833099
Estimate,260,"1,327",9,Whitman,0.117547329,0.142285435,0.259832764
Estimate,83,800,10,Whitman,-0.815428787,-0.86952327,-1.684952057
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
