NAME,GEOID,has_computer,with_internet,sixtyfive_and_older,number_providers,mean_lowest_cost,mean_d_mbps,mean_u_mbps,mean_lat_ms,index
"Census Tract 9513.01, Stevens County, Washington",53065951301,-1.0440878870108437,-0.9956303154471711,-0.5169645095740719,-0.2972608412664625,0.6894866427921289,-1.3473707540180069,-1.0236205861226284,2.0545077043676976,-4.832612432325741
"Census Tract 9513.02, Stevens County, Washington",53065951302,-1.5521407532355176,-1.562105846429182,-0.9041675973609321,0.2055822640534418,-0.6709701622901125,-0.9514387829413794,-0.9469035341322178,1.198649041520109,-3.532683838891151
"Census Tract 9514.01, Stevens County, Washington",53065951401,-0.42455579474406496,-0.5420671369244122,0.6446447537865088,-1.3029470519062711,1.7584169896424635,-1.8549869824595857,-1.0174404185266699,1.0664131797514915,-4.757016010476916
"Census Tract 9514.02, Stevens County, Washington",53065951402,0.2479746181001078,0.2521468676618531,0.4891287595114584,-0.2972608412664625,0.6894866427921289,-0.5691883788346428,-0.8669320834248779,0.6405686594046394,-2.2031047196471407
"Census Tract 9601, Lincoln County, Washington",53043960100,-1.197600263855709,-1.144904272935674,-0.754999194688945,-0.2972608412664625,-2.407981975921881,-1.8362634339624377,-1.1376491618757154,0.9684329615055158,-3.5682959008850665
"Census Tract 9602, Lincoln County, Washington",53043960200,-0.19245970118099445,-0.14591701897415457,0.48595496370992675,2.216954685333059,-0.6335949753372824,-1.5197197292007405,-1.0123160308164618,2.7441561593925146,-5.165931919024599
"Census Tract 9603, Lincoln County, Washington",53043960300,-0.5926883979551081,-0.7717193792144167,0.3082223988241548,1.2112684746932505,-1.3511985648312188,-1.6323309778577928,-0.5645547830520178,3.6993727470850235,-5.725528475648903
"Census Tract 9604, Lincoln County, Washington",53043960400,-0.2418029651668441,-0.29136343909115736,0.6985992824125467,2.216954685333059,-0.6335949753372824,-1.8825200692543842,-1.004793436952733,2.241655140628962,-5.19733910718326
"Census Tract 9400, Ferry County, Washington",53019940000,-1.581381205967873,-1.717121109974935,-0.7454778072843501,1.7141115800131548,-1.8613698667370557,-1.9583887982133312,-0.9841900442825129,2.8076403089868824,-5.783910882982472
"Census Tract 9701, Ferry County, Washington",53019970100,-0.5323799641946253,-0.9573549417321703,0.5430832881374963,1.7141115800131548,-2.1771901964882785,-1.4496418170525,-0.8979701422479806,1.1202455644865275,-3.554290677264298
"Census Tract 9702, Ferry County, Washington",53019970200,-0.5945159262508803,-0.6473244146406643,0.8445938892830022,1.7141115800131548,-2.1771901964882785,-1.4525795376754629,-0.9378013636119612,0.4504952695811311,-3.0658578067254982
"Census Tract 9703, Garfield County, Washington",53023970300,-0.897885623349067,-0.9516136356749202,-0.11071864697802182,1.7141115800131548,-0.18509273190359152,-1.1004486781825487,1.312073499012458,0.9387385652076711,-1.112291088270798
"Census Tract 9701, Pend Oreille County, Washington",53051970100,-0.9435738307433722,-1.0817499063059226,0.09240428432000322,-0.8001039465863669,1.2725395592559425,-1.6673450068453355,-0.7372958034238032,0.9405597842713225,-4.224746395881609
"Census Tract 9702, Pend Oreille County, Washington",53051970200,-0.4994844548707255,-0.8253049024154178,0.21935611638126887,2.216954685333059,-0.7457205361957128,-1.6584609687428042,-0.438434647353317,1.1831932188835637,-3.48314685090041
"Census Tract 9703, Pend Oreille County, Washington",53051970300,-0.3094215121104158,-0.687513557041415,0.2987010114195599,-0.8001039465863669,0.7311332796823898,-1.4791187720651175,0.4284973716051981,1.3426255105652618,-2.720554673544595
