label,population,tract,county,standardized_population,index
Estimate,"6,322",130.03,Spokane,1.836682991,1.836682991
Estimate,"6,852",131.01,Spokane,2.2139741,2.2139741
Estimate,"5,135",131.02,Spokane,0.991693282,0.991693282
Estimate,"7,391",132.01,Spokane,2.597672038,2.597672038
Estimate,"2,673",132.03,Spokane,-0.760930697,-0.760930697
Estimate,"4,813",132.04,Spokane,0.762471137,0.762471137
Estimate,"3,611",132.05,Spokane,-0.093196622,-0.093196622
Estimate,"3,354",133,Spokane,-0.276147216,-0.276147216
Estimate,"5,500",134.01,Spokane,1.251525838,1.251525838
Estimate,"1,761",135.01,Spokane,-1.410156152,-1.410156152
Estimate,"2,293",135.02,Spokane,-1.031441303,-1.031441303
Estimate,"6,078",135.03,Spokane,1.662986707,1.662986707
Estimate,"5,158",136,Spokane,1.008066293,1.008066293
Estimate,"3,128",137,Spokane,-0.43702984,-0.43702984
Estimate,"3,464",138,Spokane,-0.197841514,-0.197841514
Estimate,"5,618",139,Spokane,1.3355265,1.3355265
Estimate,"5,326",140.01,Spokane,1.127660455,1.127660455
Estimate,"6,296",140.02,Spokane,1.818174371,1.818174371
Estimate,"6,201",141,Spokane,1.750546719,1.750546719
Estimate,"3,547",142,Spokane,-0.138756303,-0.138756303
Estimate,"2,939",143,Spokane,-0.571573273,-0.571573273
Estimate,"4,470",144,Spokane,0.518299722,0.518299722
Estimate,"2,001",145,Spokane,-1.239307348,-1.239307348
Estimate,"2,203",9410,Stevens,-1.095509605,-1.095509605
Estimate,"4,596",9501.01,Stevens,0.607995344,0.607995344
Estimate,"2,973",9501.02,Stevens,-0.547369692,-0.547369692
Estimate,"4,353",9502,Stevens,0.43501093,0.43501093
Estimate,"2,740",9503,Stevens,-0.713235406,-0.713235406
Estimate,"2,510",9505,Stevens,-0.87696551,-0.87696551
Estimate,"2,440",9506,Stevens,-0.926796411,-0.926796411
Estimate,"2,424",9507,Stevens,-0.938186331,-0.938186331
Estimate,"3,316",9508,Stevens,-0.303198277,-0.303198277
Estimate,"1,513",9509,Stevens,-1.586699916,-1.586699916
Estimate,"3,598",9511,Stevens,-0.102450932,-0.102450932
Estimate,"2,889",9513.01,Stevens,-0.607166774,-0.607166774
Estimate,"1,420",9513.02,Stevens,-1.652903827,-1.652903827
Estimate,"3,832",9514.01,Stevens,0.064126651,0.064126651
Estimate,"4,426",9514.02,Stevens,0.486977441,0.486977441
Estimate,"6,214",1,Whitman,1.75980103,1.75980103
Estimate,"4,294",2.01,Whitman,0.393010599,0.393010599
Estimate,"2,440",2.02,Whitman,-0.926796411,-0.926796411
Estimate,"6,061",3,Whitman,1.650884917,1.650884917
Estimate,"4,467",4,Whitman,0.516164112,0.516164112
Estimate,"4,033",5,Whitman,0.207212525,0.207212525
Estimate,"4,670",6.01,Whitman,0.660673725,0.660673725
Estimate,"4,379",6.02,Whitman,0.45351955,0.45351955
Estimate,"3,416",7,Whitman,-0.232011275,-0.232011275
Estimate,"3,686",8,Whitman,-0.039806371,-0.039806371
Estimate,"3,903",9,Whitman,0.114669423,0.114669423
Estimate,"2,014",10,Whitman,-1.230053038,-1.230053038
