Label,Tract,County,Total population in households,Under 18 years,18 to 64 years,65 years and over,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,Hispanic or Latino origin (of any race),"White alone, not Hispanic or Latino",Household population 25 years and over,Less than high school graduate or equivalency,"High school graduate (includes equivalency), some college or associate's degree",Bachelor's degree or higher,Civilian population 16 years and over,In labor force,Employed,Unemployed,Not in labor force
Estimate,24,Spokane,"1,699",396,"1,142",161,"1,283",45,10,43,0,67,251,152,"1,257","1,118",30,717,371,"1,337",920,879,41,417
Estimate,25,Spokane,"2,921",505,"2,182",234,"2,285",127,0,9,0,165,335,201,"2,263","1,130",44,841,245,"2,416","1,519","1,429",90,897
Estimate,25.02,Spokane,"1,918",317,"1,479",122,"1,821",0,0,32,0,34,31,73,"1,782","1,030",135,652,243,"1,648",947,860,87,701
Estimate,25.03,Spokane,419,0,419,0,363,0,0,56,0,0,0,0,363,109,33,34,42,419,308,308,0,111
Estimate,26,Spokane,"4,659",919,"3,477",263,"3,313",153,68,345,0,22,758,553,"2,883","3,053",671,"1,909",473,"3,835","2,576","2,483",93,"1,259"
Estimate,29,Spokane,"3,073",709,"2,062",302,"2,654",49,0,141,0,104,125,310,"2,434","2,090",122,"1,306",662,"2,449","1,587","1,526",61,862
Estimate,30,Spokane,"2,083",617,"1,291",175,"1,631",32,5,89,46,13,267,264,"1,410","1,353",224,715,414,"1,504","1,029",935,94,475
Estimate,31,Spokane,"4,607","1,067","3,112",428,"3,919",232,29,119,129,0,179,430,"3,612","3,351",162,"1,516","1,673","3,632","2,453","2,416",37,"1,179"
Estimate,32,Spokane,"2,176",138,"1,621",417,"1,942",10,7,144,0,35,38,218,"1,789","1,767",79,885,803,"1,989","1,362","1,292",70,627
Estimate,35,Spokane,"1,601",108,"1,237",256,"1,453",21,21,50,0,36,20,158,"1,335","1,280",62,697,521,"1,493",853,829,24,640
Estimate,36.01,Spokane,"2,091",507,"1,470",114,"1,556",0,27,66,0,43,399,178,"1,448","1,350",64,781,505,"1,663","1,067","1,014",53,596
Estimate,36.02,Spokane,"2,040",58,"1,783",199,"1,680",84,62,94,0,23,97,146,"1,597","1,813",70,"1,128",615,"1,982","1,544","1,465",79,438
Estimate,38,Spokane,"1,621",233,"1,126",262,"1,490",0,18,37,10,4,62,57,"1,447","1,176",39,669,468,"1,350",909,843,66,441
Estimate,39,Spokane,"1,917",390,"1,030",497,"1,668",10,28,2,0,0,209,74,"1,594","1,380",120,721,539,"1,567",737,619,118,830
Estimate,40.01,Spokane,"2,690",408,"1,992",290,"1,774",469,15,260,0,11,161,47,"1,753","1,829",170,"1,138",521,"2,307","1,639","1,568",71,668
Estimate,40.02,Spokane,"2,201",301,"1,746",154,"1,832",21,8,74,28,216,22,262,"1,786","1,512",130,668,714,"1,916","1,607","1,550",57,309
Estimate,41,Spokane,"2,098",347,"1,243",508,"1,892",33,34,82,0,30,27,77,"1,855","1,595",40,603,952,"1,788","1,122","1,101",21,666
Estimate,42,Spokane,"4,547","1,039","2,765",743,"4,035",0,10,35,12,27,428,288,"3,980","3,114",15,883,"2,216","3,590","2,587","2,393",194,"1,003"
Estimate,43,Spokane,"3,215",721,"1,664",830,"2,906",75,0,49,0,0,185,143,"2,763","2,356",24,934,"1,398","2,564","1,621","1,600",21,943
Estimate,44,Spokane,"4,467","1,005","2,739",723,"4,055",109,0,49,0,47,207,189,"3,936","2,923",0,"1,370","1,553","3,533","2,553","2,490",63,980
Estimate,45,Spokane,"3,402",777,"1,912",713,"3,185",0,22,81,25,0,89,107,"3,122","2,475",36,765,"1,674","2,791","1,665","1,553",112,"1,126"
Estimate,46.01,Spokane,"3,206",645,"1,709",852,"2,721",77,0,68,0,37,303,192,"2,604","2,386",157,"1,247",982,"2,659","1,500","1,471",29,"1,159"
Estimate,46.02,Spokane,"2,846",666,"1,936",244,"2,363",9,16,135,16,37,270,185,"2,274","1,997",118,"1,005",874,"2,233","1,769","1,655",114,464
Estimate,47.01,Spokane,"3,204","1,065","1,893",246,"2,220",0,0,87,0,27,870,120,"2,127","1,906",82,"1,356",468,"2,123","1,485","1,381",104,638
Estimate,47.02,Spokane,"3,400",735,"2,033",632,"3,214",0,13,0,16,118,39,173,"3,041","2,463",63,"1,270","1,130","2,675","1,609","1,561",48,"1,066"
Estimate,48,Spokane,"3,639",822,"2,082",735,"3,213",145,30,102,0,32,117,188,"3,068","2,584",39,"1,080","1,465","2,823","1,802","1,770",32,"1,021"
Estimate,49,Spokane,"5,546","1,133","3,192","1,221","4,625",258,127,168,0,64,304,187,"4,510","3,701",87,"1,567","2,047","4,539","2,817","2,699",118,"1,722"
Estimate,50,Spokane,"3,826","1,127","2,212",487,"3,292",81,2,74,97,0,280,80,"3,274","2,516",111,975,"1,430","2,807","1,860","1,766",94,947
Estimate,101.01,Spokane,"3,359",703,"1,833",823,"2,914",74,0,56,0,0,315,207,"2,867","2,404",97,"1,633",674,"2,800","1,581","1,522",59,"1,219"
