tract,GEOID,county,has_computer,broadband,mean_lowest_cost,mean_d_mbps,mean_u_mbps,mean_lat_ms,index
48.0,53063004800, Spokane County,1.6426950829977294,0.9729120632634639,-1.0961129138783003,0.8462312834974558,-0.5641274231076892,-0.7247026425485069,2.083850704188486
49.0,53063004900, Spokane County,0.3113420982064297,0.6501023951962664,0.6894866427921289,0.8876226589215954,-0.2516625783378913,-0.7397803592569632,1.324012039426124
50.0,53063005000, Spokane County,0.46499504755844867,0.35461871412447277,0.7259274500711173,0.43792753716159544,-0.5200273989401047,-0.3941635082052825,0.8503962773838238
101.01,53063010101, Spokane County,-0.0778810240934317,0.21063430985277737,0.6894866427921289,-1.0731465471779167,-0.6265586271334245,0.3943566164121471,-0.23256975378759676
101.02,53063010102, Spokane County,-0.39097623732055853,-0.33260358469263646,2.613561267122712,-1.290045151981117,-0.963840374252906,0.5692732302641836,-0.8730554087695894
102.01,53063010201, Spokane County,0.35090617742258834,0.09818439355317536,0.7259274500711173,-1.7168119336155472,-1.039412246292808,1.2376801236786361,-0.5765503930084757
102.03,53063010203, Spokane County,-0.6642502061405275,-0.44734691966599144,0.7259274500711173,-0.6109826789239725,-0.8480683757736053,0.04300423143528385,-1.0476287228391337
102.04,53063010204, Spokane County,-1.0985948880437315,-0.806880779931602,0.7259274500711173,-1.9319336360695565,-0.9602071058701815,1.2718551272946088,-2.3572501183459416
103.01,53063010301, Spokane County,0.10835636229256443,-0.003581539214764205,0.7259274500711173,1.0287972375716259,-0.4332108405708757,-0.06169903225899017,0.368162516144737
103.03,53063010303, Spokane County,-0.5205607842869414,-0.19512272499118244,-0.42361437954787323,-1.992526430155879,-1.0717527456530815,2.0185986591567104,-1.796650427637918
103.04,53063010304, Spokane County,-0.14956298344020888,-0.20067750720134217,0.36880753873703104,-1.8133430021905774,-1.0195830534818706,4.447521785030239,-2.0912467963583685
103.05,53063010305, Spokane County,-0.46715041308189903,-0.2463295497936491,0.6894866427921289,-0.7211995293837539,-0.8356783985360048,1.9585551588848473,-1.2793448625954928
104.01,53063010401, Spokane County,-2.3758001743525683,-2.0917772365832628,0.07728108050512421,0.6944365619975482,-0.23658961003968465,-0.27569416392716467,-3.2298841986983384
104.03,53063010403, Spokane County,-0.46385597471992623,-0.14294656120515137,1.0134049297164667,-1.611848917157906,-0.9745579887745742,1.1203663503660357,-1.163542564875155
104.04,53063010404, Spokane County,0.17448393829485145,-0.18413725873961204,0.7259274500711173,-1.8700646785370265,-1.069608137478286,1.1038300336635267,-0.9742251259133707
105.04,53063010504, Spokane County,0.20970372651039026,0.5005877629228619,1.189246285475394,0.4231020157902823,-0.6718440006335966,-0.1332209001022591,0.8220452891629335
105.05,53063010505, Spokane County,-0.5429788509747772,-0.259986882908298,0.7259274500711173,0.4551606011970893,-0.4833858926919154,-0.5057458412127819,-0.2950068270580822
105.06,53063010506, Spokane County,0.7928471209434442,0.9471341908056523,-4.142840143571033e-15,0.6637530584145295,-0.5467792371518221,-0.5121454918098721,1.6327652139663138
105.07,53063010507, Spokane County,0.2606136002973225,0.428538395395069,0.7259274500711173,0.9802161424601817,-0.31870961518893803,-0.6360999483583384,1.0579936233820586
105.08,53063010508, Spokane County,-0.9587050012521613,-0.7716863657667699,0.7259274500711173,-0.35835999614799624,-0.3190301271382617,0.7320969951038694,-1.5718525069444573
106.01,53063010601, Spokane County,-0.7074841933662049,-0.3309840829583406,0.7259274500711173,0.14900428577409522,-0.1684331326973726,-0.46831873097735577,-0.4965723604063759
106.03,53063010603, Spokane County,0.9855976479853022,1.2787461547712098,0.7259274500711173,0.381722566131542,0.9290933407922463,-0.5262974243596877,2.354479306160594
106.04,53063010604, Spokane County,-0.09743745917996517,0.24597507584797276,0.7259274500711173,0.7719483860256673,2.180337168811021,-0.562306991091447,1.021480617869075
107.01,53063010701, Spokane County,-0.22839508117946014,-0.03598564673748189,0.7259274500711173,0.7696542530794871,-0.09125683536187723,-0.662738127170045,0.3006820756090866
107.02,53063010702, Spokane County,-0.9759116161363479,-0.6232418157453514,1.189246285475394,1.3535478243911943,1.778243650621982,-0.6142639160554485,-0.19463023057048948
108.0,53063010800, Spokane County,-0.268404282362374,-0.3357862371457336,0.7259274500711173,0.46599256935534483,0.2616025277717476,-0.7541014385970736,-0.026798054399337384
109.01,53063010901, Spokane County,-0.21002183820226597,-0.10066902910310285,0.7259274500711173,0.09020506457842907,-0.4716911441091694,-0.3700641187844653,-0.07984135172004793
109.02,53063010902, Spokane County,-2.535289142978041,-2.14967581833418,0.7259274500711173,0.9599594270854801,-0.23811585624816436,-0.6496635554562359,-3.120764497567915
110.0,53063011000, Spokane County,0.39969128420604383,0.4758086189048419,0.7259274500711173,0.9608510223421123,-0.18161089291046423,-0.36061945055480377,1.1269760576747596
111.02,53063011102, Spokane County,-0.06593312532578814,0.2601019590925771,0.7259274500711173,0.1461758533832728,0.45213163697650494,-0.5622015860599703,0.5940788381055964
111.03,53063011103, Spokane County,1.8615891854780475,1.8870944178570936,0.7259274500711173,0.2842569721600626,-0.4346895018363939,-0.6111300469863244,3.227764121028642
111.04,53063011104, Spokane County,-0.2419800548158643,-0.2281084040511447,0.7259274500711173,0.46587516531533213,0.001543538666951139,-0.5640713796618233,0.0035307312135875735
112.02,53063011202, Spokane County,0.0602709410047762,0.18127118795889646,0.7259274500711173,-1.2622326224704306,-0.8939255243123921,0.6052187143046436,-0.3345950089969402
112.03,53063011203, Spokane County,0.5870870529616266,0.43860663386556414,0.7259274500711173,0.16344277329072945,0.11976830202540181,-0.5802158837741525,1.0892482267451935
112.04,53063011204, Spokane County,0.8197901409796492,1.0339806001549605,1.189246285475394,0.5874716255409155,0.2981083819406286,-0.5030879837183336,2.0138303550819514
113.01,53063011301, Spokane County,0.2097467410003769,0.615544310231284,0.7259274500711173,1.1572812472293876,-0.5302364192869499,-0.619040103577073,1.2295980337302024
113.02,53063011302, Spokane County,0.1358931903713115,0.2611777335610403,0.7259274500711173,1.1079058771372596,-0.21602592853450084,-0.6250987638569228,0.8654977200734865
114.0,53063011400, Spokane County,0.02618385289708796,0.484100665071928,0.6894866427921289,0.9031871443415662,-0.515730472808245,-0.6304286956586774,0.9265709871973653
115.0,53063011500, Spokane County,-0.09639304610723796,0.14392208972655884,-1.309551927940958,0.34438514800819253,-0.20859121845461406,-0.7242855187570711,0.1743263880729749
116.0,53063011600, Spokane County,0.5217057985902854,0.6735183008913738,-1.309551927940958,1.381195878582342,-0.3610738315385557,-0.6707992556596633,1.2948338688322103
117.01,53063011701, Spokane County,1.0700805497834296,1.0785772273162888,-1.309551927940958,1.5622956365438223,-0.3199076543003412,-0.7420797903737083,2.0873668216828363
117.02,53063011702, Spokane County,0.5228127047026675,0.22350398407540786,-1.309551927940958,0.8738704312279283,-0.3121939904935788,-0.5846929785914337,0.6816508709309648
118.0,53063011800, Spokane County,0.9026817989163495,0.03698928506904193,-1.1082598496379727,0.6249641668937689,-0.5679619959809261,-0.7422072112137235,0.656893944997777
119.0,53063011900, Spokane County,-0.19245948912822072,-0.019047154995173485,-1.309551927940958,0.755001353823677,-0.39537658340911586,-0.7267994598716337,0.03196121030847113
120.0,53063012000, Spokane County,1.025191694363878,1.1673700224879513,-1.4605209866681839,0.7461893009951334,-0.6647266572698263,-0.7060201249895428,1.8491814818751267
121.0,53063012100, Spokane County,0.3125179350900295,0.4157291187626867,-1.309551927940958,0.6937544168120131,-0.5368837692220666,-0.8082552096154255,0.7386480802182951
122.0,53063012200, Spokane County,-0.09804651456459333,-0.20498529748677224,0.7259274500711173,-0.1302902424358763,-0.36660753614698605,-0.46932494727080554,-0.1401849145078306
123.0,53063012300, Spokane County,-0.12971442356340693,-0.2224549631150271,-1.168994528436277,0.4548706672907223,-0.17676368810412244,-0.6046102988294211,-0.20053752961825738
124.01,53063012401, Spokane County,-0.9208937558892453,-0.6530109351899364,-1.309551927940958,0.3971335092609932,-0.1133503646620136,-0.41875154946308407,-1.1512169980078508
124.02,53063012402, Spokane County,-0.08469057922654424,0.10834730560244736,-0.8930855590382146,0.6107440542995682,-0.5438816364909638,-0.3020262782383876,0.09941249308658727
125.0,53063012500, Spokane County,-0.6876714154623793,-0.2565470865991034,-1.309551927940958,0.6402982523875697,-0.6640264196053379,-0.7214138492937622,-0.5618333979482802
126.0,53063012600, Spokane County,0.32314322155377867,0.10987133304785013,-1.309551927940958,1.210023821894161,-0.2702550380561874,-0.7080818037503541,0.584768034900264
127.01,53063012701, Spokane County,0.6493231465082027,0.7515638604836131,-1.1082598496379727,0.7279769106244917,-0.34511759191294383,-0.6694950819173365,1.300258467256044
127.02,53063012702, Spokane County,-1.1771506408084889,-0.9399709491429425,-1.1082598496379727,0.6487446311381218,-0.279825670922711,-0.7024038939550725,-1.4460411306192955
128.01,53063012801, Spokane County,-0.0866764003330433,0.08969417025335188,-1.1082598496379727,0.8962794052949375,-0.22491108190582015,-0.6521125871128917,0.27491422677391764
128.02,53063012802, Spokane County,-0.23873830841380891,0.07467644784334533,-1.1082598496379727,1.389649860942897,-0.30101576601842095,-0.7376796668003973,0.3174684833255506
129.01,53063012901, Spokane County,-0.46050727956316023,-0.5693032642755635,-1.1082598496379727,0.8586887756031759,-0.566516299358361,-0.6695799041296963,-0.672551858230493
129.02,53063012902, Spokane County,-0.6850502791933565,-0.787009482477551,-1.1082598496379727,0.7792070516746554,-0.6656152079058252,-0.6287745957863187,-1.068988819721727
130.01,53063013001, Spokane County,-0.1820036429013767,0.2209133863657751,-1.1082598496379727,-0.03460380155070479,-0.740044837462181,-0.6591160605186753,0.02486038094002682
130.02,53063013002, Spokane County,0.9438870164491242,0.8623958816313211,-1.1082598496379727,0.9473043716356007,-0.07982792480859709,-0.6357191389545072,1.6702141578602703
130.03,53063013003, Spokane County,-0.43539017265968666,-0.1590922039389799,-0.8930855590382146,0.434596065632336,0.330588783529918,-0.5985379083893069,-0.18760991149345124
131.01,53063013101, Spokane County,1.7300756216128665,1.1957981452905713,1.8070047326810954,0.8372540632196604,-0.46985188945178125,-0.7657741838440839,2.767957825604499
131.02,53063013102, Spokane County,0.17431510666221503,0.46682990758888554,-0.4766191901354983,0.5306628805587426,-0.11267608236211625,-0.6207498651703605,0.8031440586009168
132.01,53063013201, Spokane County,-0.2540700890296519,-0.1637646228484808,1.189246285475394,1.006756505964548,-0.01916567378442332,-0.17788414803079203,0.1607669357456868
132.03,53063013203, Spokane County,0.2726877538195417,0.5509013585066387,1.189246285475394,0.6921132266349137,0.4486465804876515,-0.6580498946830453,1.310889334390849
132.04,53063013204, Spokane County,-0.76728360703069,-0.5263564771412059,-4.142840143571033e-15,0.19173147898465748,-0.43351652972025223,-0.32955178700404947,-0.8970689118588069
132.05,53063013205, Spokane County,-0.5705164643565246,-0.4589325768691522,-0.4766191901354983,0.5049068946311304,-0.22470109082542214,-0.4732164302847789,-0.6250493112459583
133.0,53063013300, Spokane County,-0.31863024961824477,-0.3249098635366146,-1.083965978118628,-1.2821144836215979,-0.9414938764433686,1.7221955592646891,-1.6158075971993724
134.01,53063013401, Spokane County,-0.1448036964425344,0.1880390821428261,-1.309551927940958,0.5854717465178406,-0.5469339736385509,-0.5230713073836579,0.1460230193499372
135.01,53063013501, Spokane County,-0.214633411146871,-0.33588488065749694,0.6894866427921289,-1.5178626749832562,-0.9822521556659393,1.3455116870089634,-1.3052361826720689
135.02,53063013502, Spokane County,0.11245211039889164,0.4007166937585375,0.6894866427921289,-1.6497126614368864,-0.8660167207099324,0.5262532928897318,-0.1617059153464627
135.03,53063013503, Spokane County,-0.18003901746712983,0.1788215942889169,0.6894866427921289,-0.11316638740705169,-0.2568940074937994,-0.04595128503847113,0.11505776676561269
136.0,53063013600, Spokane County,-0.0916755212963426,0.10706475033554401,0.9518604552008446,-0.23024166813330166,-0.5261283823301871,-0.23563846723442372,0.09827709715396307
137.0,53063013700, Spokane County,0.7092478304854339,0.42888993011580995,0.10643372632831531,-0.4552167519159473,-0.44301364479508215,0.033726763246397964,0.6397381190387236
138.0,53063013800, Spokane County,-2.0575951815773874,-1.9820756362454546,0.6603339969689378,0.8351485868474411,-0.537664538369232,-0.6105810255443868,-2.7891800783298955
139.0,53063013900, Spokane County,-0.039553130303935015,0.30348769630650735,0.07728108050512421,-0.48428752233850925,-0.9077434013245222,1.7925256613645837,-0.4631617809762171
140.01,53063014001, Spokane County,-0.9259627382805786,-0.9951271313400556,1.418302788371896,0.04026651163046485,1.8185594547202923,0.04629420880153949,-1.0407185498463933
