tract,county,GEOID,has_computer,with_internet,work_from_home,broadband,median_income,median_age,total_population
25.01," Spokane County",53063002501,1096.0,1049.0,105.0,1049.0,44527.0,22.6,3268.0
25.02," Spokane County",53063002502,828.0,727.0,16.0,727.0,49167.0,28.7,2592.0
25.03," Spokane County",53063002503,186.0,168.0,84.0,168.0,-666666666.0,19.7,3205.0
26," Spokane County",53063002600,2024.0,1960.0,43.0,1960.0,37711.0,34.6,4857.0
29," Spokane County",53063002900,1177.0,1167.0,100.0,1167.0,63977.0,34.9,3246.0
30," Spokane County",53063003000,853.0,778.0,72.0,767.0,43219.0,30.5,2557.0
31," Spokane County",53063003100,2066.0,2042.0,100.0,2028.0,52803.0,34.6,5004.0
32," Spokane County",53063003200,1416.0,1349.0,142.0,1322.0,43668.0,43.2,2865.0
35," Spokane County",53063003500,1462.0,1332.0,19.0,1318.0,14280.0,50.7,2671.0
36.01," Spokane County",53063003601,1138.0,1093.0,9.0,1093.0,28578.0,27.0,2267.0
36.02," Spokane County",53063003602,1533.0,1491.0,128.0,1491.0,27073.0,32.6,2337.0
38," Spokane County",53063003800,854.0,806.0,38.0,806.0,51159.0,36.0,1745.0
39," Spokane County",53063003900,951.0,841.0,81.0,829.0,48250.0,53.3,2153.0
40.01," Spokane County",53063004001,1312.0,1289.0,200.0,1289.0,52575.0,29.8,2794.0
40.02," Spokane County",53063004002,1257.0,1250.0,64.0,1250.0,38045.0,31.3,2301.0
41," Spokane County",53063004100,1030.0,965.0,158.0,965.0,65217.0,44.8,2221.0
42," Spokane County",53063004200,1865.0,1820.0,323.0,1820.0,96071.0,43.2,4726.0
43," Spokane County",53063004300,1423.0,1385.0,147.0,1375.0,89917.0,48.0,3441.0
44," Spokane County",53063004400,2038.0,1846.0,137.0,1846.0,57904.0,39.4,4790.0
45," Spokane County",53063004500,1486.0,1423.0,202.0,1423.0,91250.0,44.6,3605.0
46.01," Spokane County",53063004601,1744.0,1629.0,83.0,1622.0,42979.0,52.6,3876.0
46.02," Spokane County",53063004602,1156.0,1091.0,264.0,1080.0,85643.0,35.6,3145.0
47.01," Spokane County",53063004701,1077.0,1036.0,210.0,1036.0,79318.0,32.0,3375.0
47.02," Spokane County",53063004702,1566.0,1550.0,153.0,1550.0,66685.0,40.9,3745.0
48," Spokane County",53063004800,1981.0,1695.0,190.0,1683.0,51467.0,44.3,4083.0
49," Spokane County",53063004900,2255.0,2242.0,299.0,2229.0,93162.0,42.9,5708.0
50," Spokane County",53063005000,1782.0,1629.0,121.0,1629.0,59135.0,39.7,4395.0
101.01," Spokane County",53063010101,1334.0,1306.0,199.0,1306.0,55852.0,50.8,3618.0
101.02," Spokane County",53063010102,980.0,929.0,135.0,915.0,89401.0,50.7,2820.0
102.01," Spokane County",53063010201,1723.0,1531.0,313.0,1531.0,70407.0,43.7,4332.0
102.03," Spokane County",53063010203,1449.0,1395.0,292.0,1395.0,108194.0,42.5,4404.0
102.04," Spokane County",53063010204,939.0,937.0,143.0,917.0,79417.0,46.0,3134.0
103.01," Spokane County",53063010301,1833.0,1683.0,123.0,1666.0,52959.0,35.6,4807.0
103.03," Spokane County",53063010303,1210.0,1192.0,179.0,1192.0,75635.0,45.8,3572.0
103.04," Spokane County",53063010304,2074.0,1928.0,143.0,1900.0,54171.0,43.9,5700.0
103.05," Spokane County",53063010305,2604.0,2512.0,340.0,2512.0,100705.0,39.7,7606.0
104.01," Spokane County",53063010401,1636.0,1583.0,60.0,1583.0,55490.0,33.5,7675.0
104.03," Spokane County",53063010403,1148.0,1130.0,72.0,1130.0,83542.0,43.3,3351.0
104.04," Spokane County",53063010404,1157.0,1048.0,174.0,1003.0,76063.0,51.3,2999.0
