"","GEOID","tract","index"
"57",53063003200,32,-1.46225601559256
"58",53063003500,35,-19.2956486331134
"59",53063003601,36.01,22.0157460951258
"60",53063003602,36.02,1.13759598764089
"61",53063003800,38,33.5102109224909
"62",53063003900,39,15.0671547340121
"63",53063004001,40.01,18.0339311286274
"64",53063004002,40.02,21.0987009969955
"65",53063004100,41,21.0168777771131
"66",53063004200,42,-17.1771367741852
"67",53063004300,43,-2.60251795159147
"68",53063004400,44,-28.5116425133494
"69",53063004500,45,3.58266399197858
"70",53063004601,46.01,-43.1926726169918
"71",53063004602,46.02,12.4279267134936
"72",53063004701,47.01,18.8212525179676
"73",53063004702,47.02,-8.5280900129402
"74",53063004800,48,-26.1231496779511
"75",53063004900,49,-41.2370405863279
"76",53063005000,50,-27.7895087184138
"77",53063010101,101.01,-5.69663995728544
"78",53063010102,101.02,14.9375854156626
"79",53063010201,102.01,-24.1229427135983
"80",53063010203,102.03,4.22238565705312
"81",53063010204,102.04,13.0336546703242
"82",53063010301,103.01,-31.9947652131584
"83",53063010303,103.03,8.60204944967155
"84",53063010304,103.04,-47.3577945521549
"85",53063010305,103.05,-55.9636265676161
"86",53063010401,104.01,-10.284279832108
"87",53063010403,104.03,9.27887782000306
"88",53063010404,104.04,0.0978670941317343
"89",53063010504,105.04,10.0521173239959
"90",53063010505,105.05,11.2877526750072
"91",53063010506,105.06,-40.175649923727
"92",53063010507,105.07,-6.84264009151574
"93",53063010508,105.08,8.17213733549582
"94",53063010601,106.01,5.52337969887923
"95",53063010603,106.03,-12.5289443382341
"96",53063010604,106.04,10.0847119100792
"97",53063010701,107.01,10.3474136105653
"98",53063010702,107.02,22.6111704684475
"99",53063010800,108,23.055165872639
"100",53063010901,109.01,31.227785934033
"101",53063010902,109.02,39.9615245682487
"102",53063011000,110,3.53489373743045
"103",53063011102,111.02,-1.43398485689424
"104",53063011103,111.03,-12.3623586554695
"105",53063011104,111.04,10.8748198621003
"106",53063011202,112.02,-6.22142719233226
"107",53063011203,112.03,-54.9660842150995
"108",53063011204,112.04,25.9272368213165
"109",53063011301,113.01,-1.69872478006533
"110",53063011302,113.02,-9.69191449566818
"111",53063011400,114,-28.9430394142617
"112",53063011500,115,43.4548073029376
"113",53063011600,116,38.2743807592215
"114",53063011701,117.01,18.0492777991825
"115",53063011702,117.02,-73.6280196390535
"116",53063011800,118,-69.6421261135142
"117",53063011900,119,-22.8764050061546
"118",53063012000,120,-16.2326394916125
"119",53063012100,121,18.6108113996058
"120",53063012200,122,23.023696030672
"121",53063012300,123,-50.7283686251037
"122",53063012401,124.01,-42.4923313331668
"123",53063012402,124.02,-38.5258976127428
"124",53063012500,125,7.97495116590227
"125",53063012600,126,-7.9652641404374
"126",53063012701,127.01,-20.7508420443426
"127",53063012702,127.02,29.1443685953432
"128",53063012801,128.01,0.0843720835670457
"129",53063012802,128.02,3.4065018263223
"130",53063012901,129.01,5.28902025568686
"131",53063012902,129.02,-60.5151785962552
"132",53063013001,130.01,56.4522048972395
"133",53063013002,130.02,12.7960144647155
"134",53063013003,130.03,-31.8125018844583
"135",53063013101,131.01,-84.6845565893668
"136",53063013102,131.02,-26.9747092476578
"137",53063013201,132.01,-56.7855844167625
"138",53063013203,132.03,22.5908472107437
"139",53063013204,132.04,-3.38272642444483
"140",53063013205,132.05,17.7693073774029
"141",53063013300,133,7.40111934802191
"142",53063013401,134.01,-18.9848990453201
