label,one_or_more_computing_devices,desktop_or_laptop,desktop_or_laptop_only,smartphone,smartphone_only,tablet_or_portable_computer,tablet_or_portable_computer_only,other,other_only,no_computer,tract,county,standardized_one_or_more_computing_devices,standardized_desktop_or_laptop,standardized_desktop_or_laptop_only,standardized_smartphone,standardized_smartphone_only,standardized_tablet_or_portable_computer,standardized_tablet_or_portable_computer_only,standardized_other,standardized_other_only,standardized_no_computer,index
Estimate,2096,1666,134,1960,261,1225,0,17,0,299,15,Spokane,1.289782299,0.866918912,0.935123673,#REF!,1.830676742,0.740343822,-0.803588293,-0.465561616,-0.152548567,2.494593618,#REF!
Estimate,1175,762,37,1120,239,651,7,9,0,179,16,Spokane,-0.388766181,-0.819159333,-0.871513279,#REF!,1.569197884,-0.650890135,-0.418767133,-0.789507532,-0.152548567,0.972891511,#REF!
Estimate,1087,948,107,893,40,604,43,23,0,288,18,Spokane,-0.549148664,-0.472245004,0.432245346,#REF!,-0.795997238,-0.764806505,1.56031312,-0.22260218,-0.152548567,2.355104258,#REF!
Estimate,1379,1131,92,1235,123,957,0,36,0,98,19,Spokane,-0.016970427,-0.130926067,0.152868498,#REF!,0.19049118,0.090778142,-0.803588293,0.303809933,-0.152548567,-0.054257411,#REF!
Estimate,1600,1203,79,1433,278,844,15,28,0,107,20,Spokane,0.385808308,0.003363351,-0.089258104,#REF!,2.032728587,-0.183105895,0.021028479,-0.020135982,-0.152548567,0.059870247,#REF!
Estimate,1081,919,49,1015,82,698,0,27,0,44,21,Spokane,-0.560083833,-0.526333797,-0.648011801,#REF!,-0.296810328,-0.536973766,-0.803588293,-0.060629222,-0.152548567,-0.739023359,#REF!
Estimate,1913,1551,102,1758,191,1355,23,40,0,269,23,Spokane,0.956259637,0.65242887,0.33911973,#REF!,0.998698558,1.055431652,0.46082409,0.465782891,-0.152548567,2.114168091,#REF!
Estimate,984,697,56,874,154,587,28,0,0,168,24,Spokane,-0.736869069,-0.940392836,-0.517635938,#REF!,0.558938661,-0.806010298,0.735696348,-1.153946687,-0.152548567,0.833402151,#REF!
Estimate,1096,895,95,972,83,633,15,15,0,15,25.01,Spokane,-0.53274591,-0.571096937,0.208743867,#REF!,-0.284924925,-0.694517681,0.021028479,-0.546548095,-0.152548567,-1.106768035,#REF!
Estimate,828,674,72,728,65,483,12,50,0,186,25.02,Spokane,-1.02118347,-0.983290844,-0.219633967,#REF!,-0.498862173,-1.058080562,-0.143894876,0.870715285,-0.152548567,1.061657467,#REF!
Estimate,186,186,0,186,0,99,0,17,0,11,25.03,Spokane,-2.19124658,-1.893474676,-1.560642838,#REF!,-1.271413343,-1.988801537,-0.803588293,-0.465561616,-0.152548567,-1.157491439,#REF!
Estimate,2024,1418,160,1838,311,954,26,0,0,59,26,Spokane,1.158560268,0.404366473,1.419376877,#REF!,2.424946873,0.083506884,0.625747445,-1.153946687,-0.152548567,-0.548810596,#REF!
Estimate,1177,1022,188,969,71,758,0,31,0,50,29,Spokane,-0.385121125,-0.334225325,1.940880327,#REF!,-0.427549757,-0.391548614,-0.803588293,0.101343736,-0.152548567,-0.662938254,#REF!
Estimate,853,738,38,759,23,599,10,9,0,113,30,Spokane,-0.975620265,-0.863922473,-0.852888156,#REF!,-0.998049083,-0.776925267,-0.253843779,-0.789507532,-0.152548567,0.135955352,#REF!
