Label,Less_than_$100,$100_to_$199,$200_to_$299,$300_to_$399,$400_to_$499,$500_to_$599,$600_to_$699,$700_to_$799,$800_to_$899,$900_to_$999,"$1,000_to_$1,499","$1,500_to_$1,999","$2,000_to_$2,499","$2,500_to_$2,999","$3,000_or_more",No_cash_rent,tract,county,Standardize_Less_than_$100,Standardize_$100_to_$199,Standardize_$200_to_$299,Standardize_$300_to_$399,Standardize_$400_to_$499,Standardize_$500_to_$599,Standardize_$600_to_$699,Standardize_$700_to_$799,Standardize_$800_to_$899,Standardize_$900_to_$999,"Standardize_$1,000_to_$1,499","Standardize_$1,500_to_$1,999","Standardize_$2,000_to_$2,499","Standardize_$2,500_to_$2,999","Standardize_$3,000_or_more",Standardize_No_cash_rent,index
Estimate,0,0,76,119,97,36,165,39,84,14,141,642,391,285,122,0,135.03,Spokane,-0.476393942,-0.736451396,0.453106173,0.658554204,0.182528386,-1.009904223,0.768920441,-0.855698467,-0.195463313,-0.888508452,-1.04794789,2.914665413,3.570774037,5.112994277,2.034079092,-0.873841265,9.611413075
Estimate,0,0,11,93,107,72,61,79,63,93,720,451,124,53,15,20,136,Spokane,-0.476393942,-0.736451396,-0.772939761,0.222511774,0.378209081,-0.449536243,-0.556631537,-0.301485692,-0.41875865,-0.08407667,1.49312849,1.667785783,0.524990991,0.434302012,-0.311718817,-0.063950399,0.548985022
Estimate,0,24,43,49,32,77,51,72,87,158,429,232,50,32,32,9,137,Spokane,-0.476393942,0.134675599,-0.169347917,-0.515406185,-1.089396132,-0.371707357,-0.684088458,-0.398472928,-0.163563979,0.577797581,0.216007201,0.238117516,-0.319158617,0.010799695,0.060978047,-0.509390375,-3.458550253
Estimate,0,0,0,0,0,0,0,0,0,4,540,226,25,10,0,21,138,Spokane,-0.476393942,-0.736451396,-0.980424457,-1.337178458,-1.715574356,-1.570272202,-1.334118755,-1.396055922,-1.088644661,-0.99033526,0.703156558,0.198948522,-0.604344296,-0.432869399,-0.640568991,-0.023455856,-12.42458287
Estimate,11,0,233,69,94,84,264,46,135,59,597,470,51,44,0,0,139,Spokane,0.490320781,-0.736451396,3.414478658,-0.179988931,0.123824177,-0.262746917,2.030743959,-0.758711231,0.346825362,-0.430287817,0.953314337,1.791820929,-0.30775119,0.252801019,-0.640568991,-0.873841265,5.213781484
Estimate,0,4,48,52,55,143,234,166,227,237,347,149,21,17,0,33,140.01,Spokane,-0.476393942,-0.591263564,-0.075036691,-0.465093597,-0.639330533,0.655633938,1.648373196,0.903927092,1.325071599,1.382229363,-0.143868902,-0.303720229,-0.649974004,-0.29170196,-0.640568991,0.462478664,2.10076144
Estimate,16,21,57,40,164,126,70,180,193,312,"1,009",343,38,0,0,25,140.02,Spokane,0.929736564,0.025784724,0.094723515,-0.666343949,1.493589042,0.391015726,-0.441920308,1.097901563,0.963545816,2.145930422,2.761472314,0.962743898,-0.456047743,-0.634537169,-0.640568991,0.138522317,8.165547741
Estimate,0,26,36,43,148,187,127,138,87,55,898,306,196,71,49,10,141,Spokane,-0.476393942,0.207269515,-0.301383633,-0.616031361,1.18049993,1.340528135,0.284584142,0.51597815,-0.163563979,-0.47101854,2.274322956,0.72120177,1.346325745,0.797303998,0.433674911,-0.468895832,6.604401965
Estimate,10,17,58,77,111,154,45,15,74,61,368,318,89,32,21,54,142,Spokane,0.402437624,-0.119403108,0.11358576,-0.045822029,0.456481359,0.826857488,-0.760562611,-1.188226132,-0.301794426,-0.409922455,-0.05170551,0.799539758,0.125731041,0.010799695,-0.180178748,1.312864073,0.990681779
Estimate,8,47,58,49,64,51,48,69,57,53,312,175,48,56,6,33,143,Spokane,0.226671311,0.969505635,0.11358576,-0.515406185,-0.463217908,-0.776417565,-0.722325534,-0.440038886,-0.482557318,-0.491383902,-0.297474555,-0.133987924,-0.341973471,0.494802343,-0.509028922,0.462478664,-2.906768456
Estimate,0,10,59,60,142,122,57,51,109,142,748,114,30,5,0,80,144,Spokane,-0.476393942,-0.373481815,0.132448005,-0.330926695,1.063091513,0.328752617,-0.607614305,-0.689434635,0.070364469,0.414874688,1.616013013,-0.532206025,-0.54730716,-0.533703284,-0.640568991,2.365722198,1.259629651
Estimate,5,0,56,86,87,42,115,128,41,35,239,25,0,3,0,6,145,Spokane,-0.036978159,-0.736451396,0.07586127,0.105115735,-0.013152309,-0.91650956,0.131635836,0.377424956,-0.652687098,-0.674672156,-0.617852061,-1.113212764,-0.889529974,-0.574036838,-0.640568991,-0.630874005,-6.806487513
Estimate,65,145,150,137,86,68,19,19,20,32,58,15,2,5,0,37,9410,Stevens,5.23601124,4.52660753,1.848912312,0.960429733,-0.032720379,-0.511799352,-1.091950605,-1.132804854,-0.875982435,-0.705220198,-1.412212725,-1.17849442,-0.86671512,-0.533703284,-0.640568991,0.624456837,4.214245288
Estimate,27,121,190,212,139,100,168,164,137,84,343,133,7,0,15,36,9501.01,Stevens,1.896451288,3.655480535,2.603402118,2.218244436,1.004387305,-0.013694482,0.807157518,0.876216454,0.368091584,-0.175720797,-0.161423833,-0.408170879,-0.809677984,-0.634537169,-0.311718817,0.583962294,11.49844957
Estimate,15,84,84,132,49,38,82,32,8,90,258,201,92,37,0,108,9501.02,Stevens,0.841853408,2.312493085,0.604004134,0.87657542,-0.75673895,-0.978772668,-0.288972003,-0.952685702,-1.00357977,-0.114624713,-0.534466134,0.035744382,0.159953323,0.11163358,-0.640568991,3.49956941,3.171417809
Estimate,36,18,144,55,147,85,105,50,53,63,358,193,75,0,26,80,9502,Stevens,2.687399697,-0.08310615,1.735738842,-0.414781009,1.160931861,-0.24718114,0.004178915,-0.703289954,-0.525089763,-0.389557094,-0.095592839,-0.016480943,-0.033972939,-0.634537169,-0.070562023,2.365722198,4.739820492
Estimate,0,47,109,72,48,101,115,73,110,60,136,100,41,0,0,29,9503,Stevens,-0.476393942,0.969505635,1.075560262,-0.129676343,-0.77630702,0.001871296,0.131635836,-0.384617609,0.08099758,-0.420105136,-1.069891555,-0.623600344,-0.421825461,-0.634537169,-0.640568991,0.300500491,-3.01745247
